,TMAX,TMIN,TMEAN
2000-01-01,8.45000012715658,1.96666669845581,4.806944457193215
2000-01-02,9.66666650772095,3.40000009536743,5.545833327704006
2000-01-03,7.90000009536743,1.58333333333333,3.9604166820645332
2000-01-04,5.58333333333333,0.88333335518837,2.8944444614979967
2000-01-05,3.71666665871938,-0.050000000745058,1.3416666839685705
2000-01-06,1.81666666269302,-2.46666671832403,-0.7666666670184998
2000-01-07,4.03333330154419,-0.933333357175191,1.5381944509637027
2000-01-08,1.38333334525426,-2.0,-0.692361109786563
2000-01-09,-0.75,-5.80000019073486,-3.2083333515458636
2000-01-10,-3.40000009536743,-6.51666657129924,-4.714583358830876
2000-01-11,-2.90000009536743,-6.25,-4.354166691501935
2000-01-12,2.99999996026357,-3.40000009536743,-1.2777777780882185
2000-01-13,-2.45000000794729,-5.04999995231628,-4.189583364460203
2000-01-14,-4.50000007947286,-6.73333342870076,-5.900000002649095
2000-01-15,-3.60000002384186,-7.33333333333333,-6.005555550257365
2000-01-16,-0.75,-6.59999990463257,-4.54027778075801
2000-01-17,3.70000004768372,-5.09999990463257,-0.208333323657927
2000-01-18,8.00000007947286,3.41666666666667,5.657638889220025
2000-01-19,5.90000009536743,2.03333330154419,3.5812500086095604
2000-01-20,2.51666669050852,-2.69999996821086,0.48958333938693044
2000-01-21,5.64999993642171,1.30000001192093,3.5937500140733185
2000-01-22,6.51666665077209,1.68333335717519,3.6062500021523896
2000-01-23,1.30000001192093,-6.03333330154419,-1.7138888896960356
2000-01-24,-0.549999994536241,-6.4333332379659,-2.9152777618211174
2000-01-25,-4.46666669845581,-8.23333326975504,-6.290972249375449
2000-01-26,-4.14999993642171,-8.39999961853027,-5.827083339293797
2000-01-27,-0.033333332588275,-4.46666669845581,-2.5395833641911536
2000-01-28,3.63333332538605,-1.94999998807907,-0.4430555552761581
2000-01-29,4.56666660308838,-1.61666665474574,0.6347222296107145
2000-01-30,11.5000001589457,5.25,8.12499999337726
2000-01-31,9.38333336512248,2.96666665871938,6.9583333250549115
2000-02-01,5.16666666666667,2.06666664282481,3.0701389031277775
2000-02-02,2.36666671435038,1.0,1.4548611284958006
2000-02-03,9.89999993642171,1.41666666666667,7.468055526415507
2000-02-04,9.30000003178914,4.35000002384186,7.993055540654393
2000-02-05,8.15000001589457,3.54999999205271,5.8673611101177
2000-02-06,5.0,-0.199999998013178,2.759027783500238
2000-02-07,5.80000003178914,-0.866666674613953,1.9625000177054763
2000-02-08,5.85000006357829,0.483333339293798,4.003472225533591
2000-02-09,3.66666666666667,0.366666674613953,1.7972222359644052
2000-02-10,5.25,0.5,2.518055559860336
2000-02-11,3.29999999205271,-0.083333333333333,1.5125000188127171
2000-02-12,4.14999993642171,-1.86666665474574,1.5083333368723595
2000-02-13,4.0,1.60000002384186,3.006944461001291
2000-02-14,5.83333333333333,2.18333331743876,3.8534722295072346
2000-02-15,6.75,0.700000007947286,4.217361107468605
2000-02-16,0.18333334227403,-3.23333334922791,-1.4923611102729206
2000-02-17,1.26666667064031,-4.5,-1.5722222313698797
2000-02-18,6.51666665077209,2.05000001192093,4.535416658553813
2000-02-19,6.45000004768372,3.15000001589457,4.392361112766797
2000-02-20,8.01666696866353,3.81666664282481,5.674305573105811
2000-02-21,7.98333342870076,3.16666666666667,5.643055556548966
2000-02-22,3.33333337306976,-1.64999999602636,0.7861111146501356
2000-02-23,3.70000004768372,-0.533333346247673,1.2388889007787738
2000-02-24,7.43333339691162,3.61666663487752,5.538194447755813
2000-02-25,7.75,4.08333333333333,5.980555544296901
2000-02-26,8.29999987284342,4.48333334922791,6.368749999337727
2000-02-27,9.44999980926514,5.56666668256124,7.12708329823282
2000-02-28,5.66666666666667,2.18333331743876,3.7680555598603367
2000-02-29,4.16666666666667,-1.05000000198682,2.6527777862114204
2000-03-01,0.400000005960464,-3.03333338101705,-1.389583335206327
2000-03-02,6.90000009536743,-3.36666671435038,4.359722223598509
2000-03-03,7.18333339691162,3.33333333333333,5.600694442788758
2000-03-04,7.11666671435038,3.51666665077209,4.8499999940395355
2000-03-05,7.88333336512248,3.59999998410543,5.384027779102325
2000-03-06,8.25,3.64999993642171,5.947222249375449
2000-03-07,8.55000003178914,4.31666668256124,6.359722220235401
2000-03-08,10.1999998092651,4.56666668256124,7.524305545621448
2000-03-09,11.5500000317891,6.59999990463257,8.724999941057623
2000-03-10,10.7999998728434,7.69999996821086,8.779861122369766
2000-03-11,11.399999777476,5.75,8.738888846503357
2000-03-12,7.76666665077209,4.0,5.649305545621448
2000-03-13,6.63333328564962,3.26666669050852,4.788888883259561
2000-03-14,7.11666671435038,3.53333330154419,5.400694444775582
2000-03-15,6.95000004768372,2.099999944369,4.825694458352195
2000-03-16,8.199999888738,3.60000002384186,5.700000002980232
2000-03-17,8.08333333333333,2.54999999205271,5.583333336644703
2000-03-18,8.59999990463257,3.58333333333333,5.938194447093539
2000-03-19,6.35000006357829,-1.76666665077209,3.2048611033500904
2000-03-20,2.51666669050852,-1.76666665077209,0.1354166717372006
2000-03-21,0.366666674613953,-1.96666665871938,-0.5076388815003962
2000-03-22,0.550000001986822,-0.600000023841858,-0.12430555570042796
2000-03-23,-0.533333346247673,-1.93333331743876,-1.1326388808795143
2000-03-24,0.300000011920929,-2.98333334922791,-1.1715277715379162
2000-03-25,-1.44999998807907,-3.04999999205271,-2.1708333293596893
2000-03-26,-1.43333333730698,-3.76666665077209,-2.6368055476082697
2000-03-27,-0.883333335320155,-3.88333336512248,-1.9437499955917408
