,RMSE,MBE,Pearson,Spearman,Brier Score
MAM,5.746560185439793,0.3052526728642935,0.43686192575448685,0.4450883210862069,0.2528604118993135
DJF,4.2550525816329685,0.09633353699318245,0.5338112123675403,0.5337075899782363,0.28361858190709044
JJA,4.359125385979183,0.14459221032613437,0.40846214264065517,0.35688854603294173,0.0
SON,6.023747066336831,0.2638784565057287,0.4599244241821685,0.4570843247554769,0.14519650655021835
