,TMIN min band,TMIN max band,TMIN
1900-01-01,-7.9,-0.4,-5.6796888299238155
1900-01-02,-14.2,-2.8,-7.119789493259607
1900-01-03,-10.2,-4.2,-7.903976576743877
1900-01-04,-15.4,-6.2,-10.386230769475606
1900-01-05,-10.0,-3.8,-7.815665295002874
1900-01-06,-9.6,-5.2,-7.312488539861078
1900-01-07,-5.4,-1.0,-3.706815921550678
1900-01-08,-7.8,0.0,-6.374028670374586
1900-01-09,-6.0,0.6,-3.8563644361135005
1900-01-10,-11.0,-1.4,-5.267731228630544
1900-01-11,-11.0,-1.4,-4.093171100025004
1900-01-12,-5.8,-0.4,-3.070186479921935
1900-01-13,-8.2,-1.0,-6.157951005063449
1900-01-14,-8.6,-2.4,-4.542302051135393
1900-01-15,-9.6,-0.4,-5.5997917578120395
1900-01-16,-4.2,1.4,-1.0867440310595273
1900-01-17,-3.0,1.4,-0.4323202087024053
1900-01-18,-7.2,-1.6,-4.545010262527872
1900-01-19,-5.2,-0.8,-3.737450526698863
1900-01-20,-4.8,4.8,-1.2672730316292031
1900-01-21,-2.0,4.8,1.0443344184769374
1900-01-22,-6.0,1.8,-1.950925407106501
1900-01-23,-7.6,-2.2,-4.044169143913698
1900-01-24,-8.3,1.0,-3.361236939865971
1900-01-25,-8.0,0.2,-3.0610566478699437
1900-01-26,-2.8,2.0,-0.7429774216805742
1900-01-27,-6.2,-1.8,-4.392373814118504
1900-01-28,-7.0,-4.0,-5.670167530998197
1900-01-29,-9.0,-6.8,-8.320132525918154
1900-01-30,-6.8,-2.0,-3.076816591372942
1900-01-31,-3.6,0.2,-1.884246395221392
1900-02-01,-12.0,0.2,-4.739010964839264
1900-02-02,-11.0,-5.2,-7.039923134016828
1900-02-03,-6.6,-0.1,-3.1810123232165974
1900-02-04,-14.0,0.0,-6.109761607014487
1900-02-05,-11.1,-1.0,-6.899874316379606
1900-02-06,-7.6,0.2,-3.4037751324202814
1900-02-07,-3.6,-0.4,-2.2298948460006156
1900-02-08,-11.4,0.2,-4.595250629226661
1900-02-09,-8.8,-1.8,-5.056732878416429
1900-02-10,-3.2,1.0,-0.5310472107450658
1900-02-11,-10.2,0.0,-3.491314979189588
1900-02-12,-5.2,-0.4,-2.24054013080266
1900-02-13,-5.0,4.2,0.6725828761652557
1900-02-14,-6.7,4.0,0.9823747786392004
1900-02-15,-5.8,1.2,-3.008187114168405
1900-02-16,-7.8,-0.4,-4.8613927381104824
1900-02-17,-5.8,-0.8,-3.027374303855219
1900-02-18,-6.6,0.0,-2.657223661029451
1900-02-19,-6.0,0.2,-4.572950276565142
1900-02-20,-4.8,-0.4,-2.6119326655309116
1900-02-21,-7.0,1.4,-5.1780226634355015
1900-02-22,-4.4,1.4,-0.8748331343549334
1900-02-23,-6.2,-1.0,-2.9917876513301964
1900-02-24,-2.6,0.6,-1.0576520316391227
1900-02-25,-6.6,-0.4,-2.3225970754056164
1900-02-26,-3.3,3.0,-0.9249167377629827
1900-02-27,-3.0,-0.8,-2.086349782454189
1900-02-28,-9.6,-0.5,-5.506942634342595
1900-03-01,-4.0,4.4,0.7361738627354503
1900-03-02,-8.6,7.0,-0.894705494600496
1900-03-03,-6.4,2.4,-0.7414360049335147
1900-03-04,-4.6,1.6,-2.15142847227112
1900-03-05,-8.8,7.0,0.2924002061104256
1900-03-06,-2.2,7.6,2.7125071277321386
1900-03-07,-3.8,7.4,0.7759484857857677
1900-03-08,-0.2,8.0,1.7947477099494917
1900-03-09,0.0,7.3,4.7575303512380955
1900-03-10,-9.6,11.2,6.1789670983198
1900-03-11,2.8,6.8,5.307814406864508
1900-03-12,-1.4,6.4,1.3938911225444652
1900-03-13,1.0,6.0,4.031618544260135
1900-03-14,-6.0,4.2,-2.208936563177941
1900-03-15,-7.6,6.4,-2.2739269621098823
1900-03-16,-6.6,0.6,-4.520806558272468
1900-03-17,-7.8,-3.8,-5.97926814712437
1900-03-18,-6.8,3.2,-1.7615500556259243
1900-03-19,-4.4,-1.6,-2.656533364523677
1900-03-20,-5.2,2.0,-1.6106270329221029
1900-03-21,-6.4,1.4,-2.6180331197119826
1900-03-22,-8.8,-1.2,-3.844502882633904
1900-03-23,-5.0,1.0,-1.2017257468814362
1900-03-24,-4.6,1.4,-2.035300946081138
1900-03-25,-4.0,1.4,-1.2244613205704926
1900-03-26,-5.8,2.8,-2.8227326615017487
1900-03-27,-8.4,1.0,-3.107967801669945
1900-03-28,-5.0,-1.0,-3.5931086534698524
1900-03-29,-2.3,0.6,-1.1984566665423255
1900-03-30,-4.4,1.0,-2.1318554616481116
1900-03-31,-7.0,6.4,0.4383128283625567
1900-04-01,-4.0,1.0,-1.6784371519922063
1900-04-02,-5.0,2.2,-2.122402700398184
1900-04-03,-5.2,6.6,-1.3894602007734989
1900-04-04,-4.5,-0.2,-1.9839788300620993
1900-04-05,-6.2,-0.8,-4.0449982981277905
1900-04-06,-4.0,1.6,-1.383729851819893
1900-04-07,-7.8,-0.6,-5.581015632528095
1900-04-08,-9.8,-3.0,-6.18471809810061
1900-04-09,-7.2,-5.8,-6.872315634913015
1900-04-10,-8.8,-5.0,-6.1099502771280285
1900-04-11,-10.4,6.0,-1.9124028272664833
1900-04-12,-3.0,6.0,2.090617410420966
1900-04-13,-0.6,12.4,6.008533466607308
1900-04-14,-3.9,10.6,1.4673050339192306
1900-04-15,-0.8,8.2,2.7473824252530124
1900-04-16,0.2,6.0,3.7645285303800287
1900-04-17,-1.8,5.6,1.2705162469607214
1900-04-18,-4.4,6.4,-0.7229456005543747
1900-04-19,-3.0,6.5,0.3113228668569491
1900-04-20,-0.8,8.8,4.711651186808055
1900-04-21,0.4,4.6,2.658551180943566
1900-04-22,-0.8,7.0,4.215943860127966
1900-04-23,-5.4,7.0,2.8069553526696995
1900-04-24,-3.4,8.6,1.1111271051140361
1900-04-25,0.0,7.0,2.8637809888936188
1900-04-26,-9.0,7.0,-0.816570763167812
1900-04-27,-2.0,0.0,-0.6043762230932542
1900-04-28,-4.0,6.0,-0.5429960630875545
1900-04-29,-7.2,1.4,-1.7656307011394157
1900-04-30,-6.6,6.0,3.847726674368626
1900-05-01,-5.0,6.8,0.7729508030524357
1900-05-02,-7.0,4.2,-2.167201286345252
1900-05-03,-4.0,0.8,-2.9659086951024265
1900-05-04,-1.0,7.4,4.113497247858462
1900-05-05,-1.6,9.2,4.365186701280294
1900-05-06,-4.2,2.2,-1.7101635864391147
1900-05-07,-5.4,2.2,-1.918520018602909
1900-05-08,-5.0,7.0,-0.3224040162501096
1900-05-09,-6.6,0.2,-3.7916634903274344
1900-05-10,-1.2,6.8,4.1569912143569185
1900-05-11,-1.6,6.8,4.170832172773789
1900-05-12,1.0,2.8,1.8973025106802384
1900-05-13,-6.0,-0.8,-3.0559675952804364
1900-05-14,-9.4,4.3,-1.6300216461687698
1900-05-15,-3.6,2.1,-1.044471471451759
1900-05-16,-3.6,1.2,-0.48192068761980916
1900-05-17,-8.6,1.4,-1.9632258639096785
1900-05-18,-5.0,1.4,-1.4961148838443659
1900-05-19,-5.2,5.0,-0.7672133009816134
1900-05-20,-2.0,6.0,0.8215404023631512
1900-05-21,0.0,5.4,2.6844945093084704
1900-05-22,-3.2,6.0,1.7670545952841936
1900-05-23,-5.2,0.4,-2.3448645643296855
1900-05-24,-2.2,5.4,1.7947635530074275
1900-05-25,-11.2,11.6,4.3533987855769505
1900-05-26,-1.0,13.2,6.496645529706102
1900-05-27,-2.5,7.2,2.732609988393139
1900-05-28,-1.2,14.0,4.152263812304259
1900-05-29,1.5,14.0,8.927028196286797
1900-05-30,0.0,3.2,2.095083367405592
1900-05-31,-0.4,6.8,2.526987425626301
1900-06-01,3.2,7.2,5.346560784065771
1900-06-02,2.2,7.2,4.918185479610184
1900-06-03,-2.0,5.8,0.8344928965078557
1900-06-04,3.0,8.8,5.062987044360525
1900-06-05,4.5,9.4,5.915489656388958
1900-06-06,-1.0,15.2,8.408528469123809
1900-06-07,4.3,12.2,7.530319119722081
1900-06-08,9.0,16.8,13.441989360618196
1900-06-09,5.0,14.0,9.824106652149185
1900-06-10,1.4,12.7,8.202050763338184
1900-06-11,1.4,11.2,6.859872399172528
1900-06-12,5.4,13.6,12.511548082071549
1900-06-13,11.8,14.6,12.911039691555269
1900-06-14,12.7,15.4,14.10369666641402
1900-06-15,7.0,17.2,12.385704412362283
1900-06-16,7.4,13.5,10.981235779955858
1900-06-17,10.6,14.5,12.834465800071607
1900-06-18,11.0,17.8,14.751288879439207
1900-06-19,7.0,17.0,14.449872212560617
1900-06-20,4.6,16.6,9.318953091223468
1900-06-21,9.0,11.4,10.627155657015441
1900-06-22,9.8,16.0,14.773169678015918
1900-06-23,8.0,14.2,11.701599610578292
1900-06-24,8.0,18.8,14.28911165728252
1900-06-25,7.0,14.0,12.712674780364498
1900-06-26,8.8,15.4,11.79534811218868
1900-06-27,3.6,17.0,12.081319475006532
1900-06-28,5.6,15.0,12.166341909927786
1900-06-29,1.2,10.2,7.6141306195063665
1900-06-30,6.0,16.2,11.21661245161306
1900-07-01,8.4,14.4,11.177461172657019
1900-07-02,-1.0,12.0,5.496818448667391
1900-07-03,1.8,9.2,6.237597200483477
1900-07-04,2.4,10.0,7.941610902115952
1900-07-05,1.8,11.6,5.713844742443715
1900-07-06,4.4,11.7,10.26668830429789
1900-07-07,2.0,11.6,7.29206020086373
1900-07-08,6.2,13.8,10.061017728832454
1900-07-09,10.4,15.0,13.743038406988259
1900-07-10,6.8,13.6,11.427582018101461
1900-07-11,5.0,16.0,8.149740115776268
1900-07-12,6.8,10.0,8.799091489395156
1900-07-13,4.0,15.6,8.003083017604286
1900-07-14,6.0,16.6,14.083362206630179
1900-07-15,10.8,16.6,13.880150651841006
1900-07-16,10.0,17.4,13.307209373318646
1900-07-17,9.6,17.0,14.353925270360433
1900-07-18,7.6,17.5,12.071750015319154
1900-07-19,7.6,13.0,11.766717120503928
1900-07-20,11.8,19.0,13.957882222446688
1900-07-21,12.6,17.0,14.74452123434452
