,PCNR min band,PCNR max band,PCNR
1900-04-29,0.0,19.0,6.413675126772141
1900-04-30,0.0,15.2,2.290262809210675
1900-05-01,0.0,11.5,1.334364674540986
1900-05-02,0.0,16.0,1.3329623972039804
1900-05-03,0.0,40.0,24.951188469162727
1900-05-04,0.0,2.4,0.10976332277248124
1900-05-05,0.0,3.0,0.9581413678092697
1900-05-06,-0.3,10.7,3.299673049701801
1900-05-07,0.3,35.4,7.007155116255944
1900-05-08,0.0,20.1,12.205667749475316
1900-05-09,0.0,23.5,7.447557709271757
1900-05-10,0.0,6.9,0.7794455302332909
1900-05-11,0.0,19.7,5.554924022531156
1900-05-12,0.0,24.0,6.724473799041021
1900-05-13,0.0,21.8,8.32414324577903
1900-05-14,0.0,42.0,10.580686091121484
1900-05-15,0.0,26.0,7.948265481699574
1900-05-16,0.0,26.0,10.25314059950669
1900-05-17,0.0,19.8,2.290490222136664
1900-05-18,0.0,8.5,2.993315130144744
1900-05-19,0.0,15.3,1.5619233492790396
1900-05-20,0.0,2.0,0.38439973286675716
1900-05-21,0.0,2.0,0.34791978962635983
1900-05-22,0.0,10.6,3.7146569985290223
1900-05-23,0.0,31.8,4.648927247041171
1900-05-24,0.0,27.0,2.4894291543485467
1900-05-25,0.0,6.7,0.8394884785424674
1900-05-26,0.0,0.0,0.0
1900-05-27,0.0,1.5,0.267386573187803
1900-05-28,0.0,1.3,0.22655608537469005
1900-05-29,-0.3,1.3,0.3073646582070799
1900-05-30,0.0,91.4,26.2342900753822
1900-05-31,0.0,16.0,1.7053366329001574
1900-06-01,0.0,51.2,10.564873117202932
1900-06-02,-0.3,32.6,3.7828846751115623
1900-06-03,0.0,30.6,5.362830338601907
1900-06-04,0.0,15.0,4.61896928882135
1900-06-05,0.0,5.0,0.4263578667853583
1900-06-06,0.0,1.3,0.17386943425221085
1900-06-07,0.0,34.2,4.502802062318527
1900-06-08,0.0,8.0,0.5750202668837411
1900-06-09,-0.3,0.5,0.0226745491862116
1900-06-10,0.0,24.4,5.252369398292314
1900-06-11,0.0,24.4,5.515078254617775
1900-06-12,-0.3,25.3,1.612468515744429
1900-06-13,0.0,0.0,0.0
1900-06-14,0.0,0.0,0.0
1900-06-15,0.0,0.3,0.03190205227359385
1900-06-16,0.0,0.1,0.010140895637478662
1900-06-17,-0.3,3.0,0.12207638990818521
1900-06-18,0.0,3.0,0.26482337755893653
1900-06-19,0.0,0.0,0.0
1900-06-20,0.0,0.0,0.0
1900-06-21,0.0,0.0,0.0
1900-06-22,0.0,0.2,0.017016552653962444
1900-06-23,0.0,0.0,0.0
1900-06-24,0.0,10.6,0.8515930917561535
1900-06-25,0.0,18.5,1.3068403669725064
1900-06-26,0.0,1.5,0.1987565242956757
1900-06-27,0.0,7.6,0.6165938705787141
1900-06-28,0.0,2.8,0.49734765661673574
1900-06-29,-0.3,16.2,1.303858625149678
1900-06-30,0.0,0.0,0.0
1900-07-01,0.0,0.0,0.0
1900-07-02,-0.3,5.6,0.6180582593325168
1900-07-03,-0.3,7.4,1.466162084582218
1900-07-04,0.0,0.0,0.0
1900-07-05,0.0,0.4,0.04214040934398167
1900-07-06,0.0,0.4,0.04209518248603603
1900-07-07,0.0,5.4,0.6808671639568282
1900-07-08,0.0,8.8,1.0453407431493478
1900-07-09,0.0,0.0,0.0
1900-07-10,0.0,7.8,2.637162450616878
1900-07-11,0.0,5.8,0.48277303733120286
1900-07-12,0.0,1.9,0.2813001897782739
1900-07-13,0.0,22.9,10.623595942947366
1900-07-14,-0.3,14.0,1.1110706460381992
1900-07-15,0.0,1.6,0.1021668078823624
1900-07-16,-0.3,31.7,3.2779132312643013
1900-07-17,0.0,2.2,0.48943904126326376
1900-07-18,-0.3,17.0,4.6681455622972186
1900-07-19,-0.3,0.0,-0.02848729987177042
1900-07-20,0.0,0.0,0.0
1900-07-21,0.0,0.0,0.0
1900-07-22,0.0,0.0,0.0
1900-07-23,-0.3,3.5,0.4754821634754031
1900-07-24,0.0,5.4,0.8739025701142514
1900-07-25,0.0,8.1,2.2981728661897516
1900-07-26,0.0,1.6,0.0988263641192819
1900-07-27,0.0,12.0,2.0972100945570915
1900-07-28,0.0,13.7,0.6202826308034639
1900-07-29,-0.3,3.4,0.3096526554634856
1900-07-30,0.0,24.7,4.1849948266708745
1900-07-31,0.0,0.4,0.049848189358614646
1900-08-01,-0.3,0.3,-0.006461214254851082
1900-08-02,0.0,1.2,0.09495498860400116
1900-08-03,0.0,5.5,0.6698084637220991
1900-08-04,0.0,27.5,3.0063412285399176
1900-08-05,0.0,0.4,0.08189634202969837
1900-08-06,0.0,0.0,0.0
1900-08-07,0.0,0.0,0.0
1900-08-08,0.0,0.0,0.0
1900-08-09,-0.3,0.0,-0.04198010543681022
1900-08-10,0.0,8.8,2.1430284711647523
1900-08-11,0.0,0.0,0.0
1900-08-12,-0.3,17.0,2.1370766081015686
1900-08-13,0.0,3.2,0.09940088137608802
1900-08-14,-0.3,7.5,1.7171812933002284
1900-08-15,-0.3,11.4,0.7050496426704592
1900-08-16,0.0,4.5,0.4322220785188236
1900-08-17,0.0,3.0,0.46879916469049504
1900-08-18,0.0,11.6,1.5397324379540291
1900-08-19,0.0,0.0,0.0
1900-08-20,0.0,9.3,0.7397629408359419
1900-08-21,0.0,3.4,0.4412575620825627
1900-08-22,0.0,18.6,1.9055704392861892
1900-08-23,-0.3,15.6,1.7828061271223254
1900-08-24,0.0,14.5,1.266371142439004
1900-08-25,0.0,19.5,1.7937174553530966
1900-08-26,0.4,52.4,14.293689528347278
1900-08-27,0.0,16.1,1.7182132592407429
1900-08-28,0.0,2.0,0.4389175945586057
1900-08-29,0.0,0.0,0.0
1900-08-30,0.0,0.0,0.0
1900-08-31,0.0,13.2,1.268111853997759
1900-09-01,-0.3,23.0,3.6378718458446295
1900-09-02,0.0,29.1,7.2317275245896
1900-09-03,0.0,1.5,0.16680675613446486
1900-09-04,0.0,33.0,3.579139737849179
1900-09-05,0.0,1.0,0.10115883857448679
1900-09-06,0.0,4.0,0.26167268061511334
1900-09-07,-0.3,3.3,0.36797375520076964
1900-09-08,0.0,16.9,5.175488625433173
1900-09-09,0.0,38.0,3.3227510565505036
1900-09-10,0.0,0.3,0.0881432752354102
1900-09-11,0.0,0.9,0.03662396669798034
1900-09-12,-0.3,13.1,0.6875522092264774
1900-09-13,0.0,6.8,0.8281900920689201
1900-09-14,0.0,6.5,1.237032616030268
1900-09-15,0.0,0.0,0.0
1900-09-16,-0.3,2.2,0.2616567779140346
1900-09-17,0.0,1.3,0.09338187584642416
1900-09-18,0.0,2.2,0.212584536102062
1900-09-19,0.0,0.4,0.11675420728406975
1900-09-20,0.0,58.6,7.256310146685528
1900-09-21,0.0,2.3,0.12864515811221547
1900-09-22,0.0,0.0,0.0
1900-09-23,-0.3,16.2,2.8212946995760833
1900-09-24,-0.3,2.7,0.14152630029977503
1900-09-25,0.0,24.4,2.9870966204630403
1900-09-26,-0.3,0.0,-0.03074046447267673
1900-09-27,0.0,2.7,0.14588344992684582
1900-09-28,-0.3,21.1,2.3176170574346835
1900-09-29,0.0,1.9,0.1301086237643005
1900-09-30,0.0,40.0,9.011812971324312
1900-10-01,0.0,10.9,2.6720002165439216
1900-10-02,0.0,14.6,3.127248887735351
1900-10-03,0.0,1.8,0.4600786866037178
1900-10-04,-0.3,6.4,0.8432485421190895
1900-10-05,0.0,5.4,0.4296955599622272
1900-10-06,0.0,1.6,0.11557532835941246
1900-10-07,0.0,16.2,1.386654478218706
1900-10-08,0.0,0.0,0.0
1900-10-09,0.0,0.0,0.0
1900-10-10,0.0,5.3,0.3769870189342854
1900-10-11,0.0,13.8,1.4020698034871861
1900-10-12,0.0,24.0,3.0237322884748177
1900-10-13,0.0,25.8,2.7910032262225863
1900-10-14,-0.3,1.5,0.04870651752087022
1900-10-15,0.0,34.3,5.864218493894084
1900-10-16,0.0,28.2,6.83993757896122
1900-10-17,-0.3,35.5,4.158112973618827
1900-10-18,0.0,18.0,3.7620675087992574
1900-10-19,-0.3,18.4,2.7023763408466683
1900-10-20,0.0,13.6,1.6744100466509593
1900-10-21,0.0,6.0,0.7005155651659363
1900-10-22,0.0,6.0,0.6825283204476236
1900-10-23,0.0,9.9,1.524625183324007
1900-10-24,0.0,24.2,3.8954123426551495
1900-10-25,0.0,43.9,8.984950859196768
1900-10-26,-0.3,44.7,13.142381690076748
1900-10-27,-0.3,2.1,0.12820545704201353
1900-10-28,0.0,6.0,0.9462873662476281
1900-10-29,0.0,13.7,3.1217069824833468
