,TMAX min band,TMIN min band,TMEAN min band,TMAX max band,TMIN max band,TMEAN max band,TMAX,TMIN,TMEAN
1900-02-02,-8.78,-10.48,-9.227083333333333,4.51,0.8,2.0833333333333335,-2.42,-6.3,-4.6433333333333335
1900-02-03,-7.13,-10.48,-8.683333333333334,6.7,3.47,4.850416666666667,-0.45,-4.12,-2.2912500000000002
1900-02-04,-11.0,-13.18,-11.250909090909092,2.66,1.85,1.9177777841356065,-0.17,-3.7,-1.8891666666666669
1900-02-05,-7.14,-13.18,-10.36,2.04,0.45,0.8775,-2.17,-5.63,-3.6694736842105264
1900-02-06,-8.78,-10.37,-9.227083333333333,6.7,3.81,4.667083333333333,2.5,-1.8,-0.25
1900-02-07,-7.4,-11.75,-9.439583333333333,2.64,1.67,2.1370833333333334,1.73,-2.22,-0.29625
1900-02-08,-11.0,-13.18,-11.250909090909092,2.66,0.45,1.0845833333333335,2.04,0.13,0.8775
1900-02-09,-8.39,-11.72,-9.020000000000001,4.92,1.46,2.97,0.4,-2.11,-1.2741666666666667
1900-02-10,-2.7,-7.0,-4.791666666666667,10.22,5.38,7.452916666666667,0.26,-2.11,-1.0525
1900-02-11,-3.56,-7.59,-5.3825,10.25,6.75,8.535,6.7,3.7,4.667083333333333
1900-02-12,-3.56,-7.59,-5.3825,5.85,3.81,4.6241666666666665,5.2,2.17,3.8754166666666667
1900-02-13,-1.81,-4.91,-2.3016666666666667,5.85,3.7,4.6241666666666665,5.67,2.76999998092651,4.123333326975503
1900-02-14,3.08,-4.52,-0.1320833333333333,12.22,8.95,10.3375,4.6,1.35,2.65125
1900-02-15,-1.46,-6.87,-2.46625,10.05,6.02,7.749583333333334,10.05,6.02,7.749583333333334
1900-02-16,-5.84,-9.23,-7.129166666666666,5.9,0.99,3.279565217391305,5.9,0.99,3.279565217391305
1900-02-17,-3.38,-8.79,-6.384166666666666,6.85,2.2,3.8333333333333335,3.71,0.64,1.9404166666666667
1900-02-18,-2.6,-6.1,-4.7125,10.22,5.38,7.452916666666667,-1.71,-3.98,-2.647
1900-02-19,-2.6,-6.77,-4.7125,5.84,2.76999998092651,4.123333326975503,0.1,-3.4,-1.6416666666666666
1900-02-20,-7.0,-9.1,-8.133333333333333,5.84,3.2,4.144,1.17,-2.4,-0.44916666666666666
1900-02-21,-2.3,-8.79,-5.138947368421053,6.72,3.02,4.819166666666667,5.25,0.55,1.9070833333333332
1900-02-22,-1.71,-6.35,-3.216666666666667,10.22,5.38,7.486249999999999,8.02,3.92,5.132999992370605
1900-02-23,-2.73,-5.2,-3.6391666666666667,9.56,5.56,7.830666666666667,9.56,5.56,7.830666666666667
1900-02-24,-2.73,-5.77,-3.6391666666666667,11.07,6.85,8.535,6.68,3.33,4.595833333333333
1900-02-25,-2.73,-6.35,-3.6391666666666667,7.49,3.33,5.307916666666666,0.15,-2.46,-1.0525
1900-02-26,-3.1,-6.77,-4.440833333333333,6.27,3.7,4.6241666666666665,4.43,-0.28,2.685
1900-02-27,-6.18,-6.77,-6.288571395874023,6.6,3.2,4.5754166666666665,-0.52,-3.4,-1.8754166666666665
1900-02-28,-8.39,-10.3,-9.020000000000001,7.35,3.74,5.901666666666666,0.05,-2.9,-1.5729166666666667
1900-03-01,-2.88,-5.22,-4.034583333333333,12.85,8.87,10.720833333333333,0.56,-5.02,-1.3891666666666664
1900-03-02,-2.88,-7.09,-4.357083333333333,20.9,17.3,18.983333333333334,0.2,-2.23,-1.14375
1900-03-03,-7.39,-11.62,-9.97125,20.9,17.3,18.983333333333334,-1.54,-4.83,-2.652083333333333
1900-03-04,-5.6,-9.22,-7.87625,13.03,8.3,10.390416666666667,-4.54,-7.93,-6.7179166666666665
1900-03-05,-5.25,-9.84,-7.452083333333333,19.78,14.23,17.125,-2.81,-6.42,-4.034583333333333
1900-03-06,3.17,-3.27,0.975,19.78,14.23,17.125,3.17,-3.27,0.975
1900-03-07,5.12,-2.93,1.1537499999999998,19.78,14.23,17.125,5.12,-2.93,1.1537499999999998
1900-03-08,-2.16,-6.49,-4.675833333333333,19.03,13.48,16.19625,-0.87,-3.05,-1.8295833333333336
1900-03-09,-1.34,-4.54,-2.794166666666667,20.72,16.53,18.741666666666667,-1.34,-4.54,-2.794166666666667
1900-03-10,0.89,-4.83,-1.0087499999999998,20.72,16.53,18.741666666666667,0.89,-4.83,-1.0087499999999998
1900-03-11,-7.39,-11.62,-9.97125,18.95,13.5,15.854999999999999,5.04,0.12,2.481666666666667
1900-03-12,-1.54,-7.1,-3.3737499912579856,15.72,7.52,10.283333333333333,6.46,0.78,3.359583333333333
1900-03-13,0.2,-7.1,-3.3737499912579856,15.72,7.52,10.283333333333333,6.06,0.78,3.359583333333333
1900-03-14,-3.36,-12.17,-7.650833333333334,20.9,17.3,18.983333333333334,5.01,-4.03,1.6050000000000002
1900-03-15,-1.14,-8.2,-2.34875,15.72,9.33,12.605833333333335,1.4,-5.0,-0.5595833333333333
1900-03-16,-6.13,-13.65,-10.96375,13.25,9.2,11.107916666666666,2.73,-0.98,0.6716666666666667
1900-03-17,-6.01,-9.17,-7.572916666666667,10.77,5.26,7.6875,-5.6,-8.24,-6.7179166666666665
1900-03-18,-2.44,-7.18,-4.913333333333333,12.42,8.17,9.998333333333333,-0.97,-4.72,-2.68375
1900-03-19,-5.98,-10.2,-7.6933333333333325,7.8,2.49,5.395,-1.85,-4.37,-3.1466666666666665
1900-03-20,-0.3,-4.3,-2.341666666666667,12.61,7.79,10.106250000000001,0.27,-3.1,-1.3883333333333334
1900-03-21,-5.98,-10.2,-7.6933333333333325,6.55,2.06,3.908333333333333,-2.15,-5.33,-3.439166666666667
1900-03-22,-3.33,-6.8,-4.595416666666667,10.14,3.41,7.340434782608696,-3.33,-6.8,-4.595416666666667
1900-03-23,-6.13,-13.65,-10.96375,17.0,13.5,15.433750000000002,-2.54,-5.15,-3.62125
1900-03-24,-6.13,-13.65,-10.96375,13.25,9.2,11.107916666666666,-0.08,-2.07,-1.0833333333333333
1900-03-25,-0.56,-6.42,-2.6620833333333334,16.0,10.7,14.1825,2.14,-1.88,0.40625
1900-03-26,-6.13,-13.65,-10.96375,16.47,8.72,13.544583333333334,2.99,-0.37,0.9508333333333333
1900-03-27,-8.0,-13.65,-10.96375,10.94,6.88,8.792916666666667,0.39,-2.44,-1.0833333333333333
1900-03-28,-6.91,-9.17,-8.094583333333334,10.77,5.26,7.6875,-6.01,-9.1,-7.572916666666667
1900-03-29,-3.37,-7.12,-5.222916666666666,10.47,3.57,7.884166666666666,-3.37,-7.12,-5.222916666666666
1900-03-30,-3.3,-10.13,-6.475416666666667,12.0,10.58,11.222857142857142,-1.53,-6.28,-3.375
1900-03-31,-2.25,-6.49,-4.675833333333333,17.0,11.33,14.244166666666667,-2.16,-5.81,-3.8491666666666666
1900-04-01,-5.24,-8.2,-6.404736834074321,12.0,10.58,11.222857142857142,-0.57,-3.74,-2.0029166666666667
1900-04-02,-6.78,-10.25,-8.230833333333333,12.0,10.58,11.222857142857142,0.25,-2.29,-0.9470833333333334
1900-04-03,-2.16,-6.49,-4.675833333333333,15.68,8.17,12.08375,-1.14,-5.0,-3.035833333333333
1900-04-04,-2.11,-7.5,-4.6154166666666665,11.18,5.82,7.937083333333334,2.18,-1.94,0.5287499999999999
1900-04-05,-4.63,-11.07,-8.22875,10.14,3.41,7.340434782608696,0.78,-3.61,-1.4316666666666666
1900-04-06,-5.24,-8.2,-6.404736834074321,10.87,5.82,7.937083333333334,-0.57,-4.74,-2.158333333333333
1900-04-07,-3.33,-8.04,-4.595416666666667,10.14,3.41,7.340434782608696,-1.04,-6.0,-3.515
1900-04-08,-6.01,-11.07,-8.22875,7.15,3.92,5.6850000000000005,-4.63,-9.17,-7.572916666666667
1900-04-09,-4.5,-8.47,-6.503333333333334,10.14,3.41,7.340434782608696,-4.5,-8.47,-6.503333333333334
1900-04-10,-4.63,-11.07,-8.22875,7.35,3.92,5.6850000000000005,-4.63,-11.07,-8.22875
1900-04-11,-2.16,-6.49,-4.675833333333333,17.12,11.33,14.244166666666667,-2.16,-6.49,-4.675833333333333
1900-04-12,-3.02,-6.28,-4.581666666666666,15.54,11.07,13.5725,-0.84,-3.8,-2.1545833333333335
1900-04-13,0.2,-7.1,-3.3737499912579856,19.9,14.2,17.775000000000002,7.35,3.09,5.243333333333333
1900-04-14,1.4,-5.78,-0.6375000000000001,20.72,16.53,18.741666666666667,10.2,5.16,7.362916666666667
1900-04-15,1.4,-5.78,-0.6375000000000001,15.72,9.33,12.605833333333335,10.0,4.48,7.537083333333334
1900-04-16,0.96,-5.78,-0.6375000000000001,18.95,12.78,15.854999999999999,11.18,5.8,8.7525
1900-04-17,-3.36,-12.17,-7.650833333333334,18.56,13.48,16.210833333333333,8.18,3.47,5.6675
1900-04-18,-1.14,-8.2,-2.34875,15.72,9.33,12.605833333333335,6.5,1.17,3.8070833333333334
1900-04-19,1.4,-8.2,-0.6375000000000001,17.0,10.66,14.093333333333334,10.21,3.64,7.2629166666666665
1900-04-20,4.18,-2.12,1.7769565217391303,20.72,16.53,18.741666666666667,6.07,1.93,3.8754166666666667
1900-04-21,4.18,-2.12,1.7769565217391303,19.9,14.2,17.783333333333335,7.21,1.68,4.159583333333333
1900-04-22,1.4,-8.2,-0.6375000000000001,18.56,13.48,16.210833333333333,9.48,3.83,7.2629166666666665
1900-04-23,-1.0,-3.9,-2.328333333333333,17.0,11.12,13.975,9.22,4.87,7.179166666666667
1900-04-24,-1.87,-6.8,-4.099583333333333,18.95,13.5,15.854999999999999,7.49,3.5,5.535833333333334
1900-04-25,-1.0,-5.15,-2.328333333333333,17.0,13.5,15.433750000000002,7.49,2.53,5.0825000000000005
1900-04-26,-6.13,-13.65,-10.96375,17.0,13.5,15.433750000000002,7.49,1.7,3.5241666666666664
1900-04-27,-6.13,-13.65,-10.96375,16.47,11.12,13.975,8.2,4.02,6.206666666666667
1900-04-28,-6.13,-13.65,-10.96375,14.91,9.97,13.009583333333333,6.81,2.08,5.358333333333333
1900-04-29,-5.6,-7.93,-6.7179166666666665,13.25,9.2,11.107916666666666,5.42,0.23,3.345
1900-04-30,0.56,-3.02,-1.3545833333333333,12.85,8.53,10.390833333333333,3.94,0.02,2.1079166666666667
1900-05-01,0.06,-5.2,-1.6937499999999999,12.55,8.87,10.390833333333333,3.97,-1.97,1.4270833333333333
1900-05-02,-2.16,-6.49,-4.675833333333333,10.9,5.97,8.727500000000001,3.33,-2.65,0.3354166666666667
1900-05-03,-1.53,-6.12,-3.6950000000000003,16.52,11.13,14.464285714285714,8.8,2.93,5.267083333333333
1900-05-04,2.92,-3.16,0.7599999999999999,19.98,15.15,17.267083333333336,7.85,2.23,4.685416666666667
1900-05-05,-1.34,-4.54,-2.794166666666667,20.72,16.53,18.741666666666667,7.2,2.41,4.475416666666667
1900-05-06,-1.85,-4.54,-3.1320833333333336,10.2,5.55,7.524166666666667,2.87,-1.6,0.8354166666666667
1900-05-07,-1.85,-4.54,-3.1320833333333336,11.53,5.55,9.082916666666668,3.75,-1.05,0.8354166666666667
1900-05-08,-2.11,-7.5,-4.6154166666666665,11.18,4.88,5.927083333333333,3.75,-0.78,0.7666666666666666
1900-05-09,-3.37,-7.12,-5.222916666666666,12.0,10.58,11.222857142857142,0.09,-3.0,-0.9958333333333332
1900-05-10,-1.53,-3.17,-2.1545833333333335,12.55,8.53,10.390833333333333,3.94,-1.97,0.4854166666666666
1900-05-11,-1.0,-3.9,-2.328333333333333,17.0,11.04,13.975,5.44,1.97,3.5095833333333335
1900-05-12,-6.13,-13.65,-10.96375,16.25,9.72,13.975,9.9,5.74,7.3879166666666665
1900-05-13,-6.0,-14.0,-10.412083333333333,10.94,6.88,8.792916666666667,8.94,4.75,7.11625
1900-05-14,-8.0,-13.65,-10.96375,10.94,6.88,8.792916666666667,9.72,5.92,7.515833333333333
1900-05-15,-8.0,-13.65,-10.96375,17.0,13.5,15.433750000000002,7.03,2.11,5.570833333333333
1900-05-16,-8.0,-13.65,-10.96375,17.0,13.5,15.433750000000002,5.63,2.53,4.4070833333333335
1900-05-17,-8.0,-11.49,-9.29125,18.6,13.5,16.395833333333332,5.63,2.53,4.4070833333333335
1900-05-18,-6.13,-13.65,-10.96375,18.6,13.5,16.395833333333332,6.8,2.53,5.28625
1900-05-19,-1.54,-5.02,-2.652083333333333,19.7,15.7,18.224999999999998,5.5,1.83,3.685416666666667
1900-05-20,-2.25,-5.81,-3.8491666666666666,15.54,11.07,13.5725,0.8,-3.0,-0.9470833333333334
1900-05-21,-0.97,-6.19,-3.035833333333333,20.55,13.5,17.267083333333336,8.07,2.4,4.914166666666667
1900-05-22,-1.34,-6.1,-2.794166666666667,19.98,13.5,17.267083333333336,7.72,2.93,4.902083333333334
1900-05-23,-1.53,-6.12,-3.6950000000000003,14.33,10.27,11.819583333333334,7.44,2.93,5.243333333333333
1900-05-24,-3.02,-6.28,-4.581666666666666,14.33,10.58,11.819583333333334,7.44,2.55,4.890416666666667
1900-05-25,-2.25,-5.81,-3.8491666666666666,15.54,11.07,13.5725,8.09,3.52,5.959166666666667
1900-05-26,5.35,-0.78,2.5433333333333334,19.78,14.23,17.125,10.2,5.76,8.5975
1900-05-27,4.38,-1.2,3.0829166666666663,19.9,14.2,17.783333333333335,13.1,8.05,10.729166666666666
1900-05-28,-3.36,-12.17,-7.650833333333334,19.9,14.2,17.775000000000002,15.65,9.97,13.012083333333335
1900-05-29,-3.36,-12.17,-7.650833333333334,19.9,15.7,18.224999999999998,13.54,8.52,10.810416666666667
1900-05-30,0.33,-3.72,-0.4004166666666667,19.7,15.7,18.224999999999998,13.21,8.87,10.950833333333334
1900-05-31,-2.23,-6.18,-3.987916666666667,19.78,14.23,17.125,12.45,8.7,10.183333333333334
1900-06-01,3.87,1.65,2.9283333333333332,22.6,16.4,19.8125,12.54,6.77,9.937916666666666
1900-06-02,2.91,0.77,1.42,19.59,14.97,16.971666666666668,8.98,3.6,6.355
1900-06-03,2.91,-0.92,1.42,18.95,13.16,15.531666666666666,7.8,2.7,4.995833333333333
1900-06-04,4.66,-0.92,3.0366666666666666,21.64,14.94,18.247916666666665,4.86,1.36,3.62125
1900-06-05,5.07,-0.92,3.8070833333333334,21.64,16.17,19.523333333333333,7.05,2.49,4.138333333333333
1900-06-06,11.7,5.1,8.704166666666667,24.13,19.54,21.592083333333335,11.7,5.1,8.704166666666667
1900-06-07,8.95,4.1,7.595833333333334,24.13,19.54,21.592083333333335,8.95,4.1,7.595833333333334
1900-06-08,12.5,4.93,8.818333333333333,25.16,20.17,22.77208333333333,12.5,4.93,8.818333333333333
1900-06-09,12.85,6.66,9.892083333333334,23.65,18.73,20.872916666666665,14.15,9.07,11.59625
1900-06-10,6.91,1.39,4.074166666666667,23.65,18.73,20.872916666666665,13.1,7.67,10.185833333333333
1900-06-11,6.91,1.39,4.074166666666667,23.65,18.73,20.872916666666665,10.22,5.96,7.828260869565218
1900-06-12,8.3,-0.13,4.3575,24.22,19.64,21.726666666666663,10.22,3.57,6.97375
1900-06-13,10.95,3.57,6.97375,23.94,18.8,21.321250000000003,10.95,3.57,6.97375
1900-06-14,12.06,6.2,10.072916666666666,24.5,19.5,22.309583333333332,12.06,6.2,10.072916666666666
1900-06-15,14.97,6.2,11.440833333333332,24.5,19.5,22.309583333333332,14.97,6.2,11.440833333333332
1900-06-16,16.1,8.1,12.991666666666667,24.18,19.18,21.46875,16.42,9.28,13.115
1900-06-17,17.08,9.28,13.115,24.5,19.5,22.309583333333332,17.18,11.55,14.805833333333334
1900-06-18,17.06,9.79,14.272083333333333,24.5,19.5,22.309583333333332,17.06,9.79,14.272083333333333
1900-06-19,10.95,3.57,6.97375,24.22,19.64,21.726666666666663,16.1,9.6,13.115
1900-06-20,10.95,3.57,6.97375,24.22,19.64,21.726666666666663,16.45,9.79,12.695416666666667
1900-06-21,10.83,3.57,6.97375,24.22,19.64,21.726666666666663,15.17,9.7,12.360416666666666
1900-06-22,14.8,10.22,12.809166666666668,22.47,18.05,20.735,15.05,10.63,13.027083333333332
1900-06-23,14.8,10.63,12.809166666666668,24.5,19.5,22.309583333333332,14.8,10.63,12.809166666666668
1900-06-24,15.28,8.8,12.25875,24.38,17.22,20.056250000000002,15.28,8.8,12.25875
1900-06-25,13.73,8.1,10.968333333333334,22.02,17.22,20.056250000000002,16.69,10.85,14.09125
1900-06-26,14.04,8.48,11.633333333333333,24.24,18.9,21.61375,17.21,11.3,14.37375
1900-06-27,12.44,7.81,10.397916666666667,25.22,19.78,22.5725,15.97,11.7,14.210833333333333
1900-06-28,5.07,2.49,3.8070833333333334,22.3,17.4,19.616666666666667,10.8,7.3,9.4125
1900-06-29,12.17,5.1,9.60875,23.23,18.49,20.902083333333334,12.17,5.1,9.60875
1900-06-30,10.62,3.57,6.97375,23.23,18.49,20.902083333333334,15.9,9.6,12.695416666666667
1900-07-01,8.3,-0.13,4.3575,23.61,17.67,20.089583333333334,15.9,10.13,14.184583333333334
1900-07-02,6.99,3.57,4.95625,23.31,16.61,19.5725,18.0,11.74,14.683333333333332
1900-07-03,4.65,-2.2,0.71375,22.51,16.29,19.523333333333333,12.07,6.4,8.728333333333333
1900-07-04,9.8,3.42,6.542083333333333,24.13,19.54,21.592083333333335,9.8,3.42,6.542083333333333
1900-07-05,10.53,4.08,8.23375,24.16,19.48,20.959166666666665,11.75,5.4,8.254583333333334
1900-07-06,10.53,4.08,8.23375,23.27,19.48,20.959166666666665,11.75,5.4,8.254583333333334
1900-07-07,9.22,3.42,6.542083333333333,22.2,16.96,19.322916666666668,12.13,6.35,9.070416666666667
1900-07-08,11.29,5.1,8.879166666666666,22.68,17.29,20.113333333333333,12.86,6.7,10.613333333333333
1900-07-09,11.44,2.68,7.5,26.23,20.25,23.135,15.34,8.5,12.187083333333334
1900-07-10,12.87,7.82,11.28375,26.23,20.25,23.135,15.52,9.07,12.70875
1900-07-11,7.88,4.76,6.059230769230769,24.26,18.16,21.14875,10.83,5.43,8.322916666666666
1900-07-12,7.88,4.76,6.059230769230769,23.31,16.76,19.5725,16.25,9.4,13.841666666666667
1900-07-13,10.83,4.76,8.114583333333334,24.34,20.17,22.13083333333333,15.17,9.07,12.66375
1900-07-14,12.87,7.82,11.28375,26.23,20.17,23.135,16.1,9.28,13.7475
1900-07-15,12.87,7.82,11.28375,25.16,20.17,22.77208333333333,19.38,12.52,15.915416666666665
1900-07-16,14.55,8.5,12.187083333333334,26.23,19.92,23.135,20.25,13.89,17.452916666666667
1900-07-17,11.44,2.68,7.5,24.7,19.8,22.35083333333333,20.7,14.32,16.824583333333333
1900-07-18,15.97,10.17,13.957916666666668,26.23,19.92,23.135,18.93,13.79,16.52125
1900-07-19,8.3,-0.13,4.3575,24.22,19.64,21.726666666666663,19.2,13.67,16.672916666666666
1900-07-20,16.1,9.28,13.115,26.23,19.92,23.135,20.08,13.8,17.234166666666667
1900-07-21,16.99,9.56,14.147916666666667,25.25,19.5,22.309583333333332,20.12,13.8,17.469166666666666
1900-07-22,15.72,9.56,13.769166666666665,25.46,19.5,22.309583333333332,19.2,13.4,16.35125
1900-07-23,13.73,8.1,10.968333333333334,23.7,19.19,21.21291666666667,17.6,12.53,15.319166666666666
1900-07-24,12.44,7.82,10.397916666666667,25.22,19.78,22.5725,12.44,7.82,10.397916666666667
1900-07-25,15.92,7.82,13.599583333333333,24.24,19.64,21.726666666666663,17.38,12.19,15.310833333333333
1900-07-26,15.05,10.85,12.809166666666668,26.23,19.92,23.135,18.25,12.75,15.574583333333335
1900-07-27,10.83,4.76,8.114583333333334,24.34,20.17,22.13083333333333,19.13,13.58,16.146666666666665
1900-07-28,10.83,4.76,8.114583333333334,24.24,18.18,21.61375,21.0,16.7,18.633333333333333
1900-07-29,6.99,3.9,4.95625,23.31,16.76,19.815,18.84,12.7,15.941538461538462
1900-07-30,8.95,4.1,6.948333333333333,24.13,19.54,21.592083333333335,15.5,10.67,13.332916666666668
1900-07-31,8.95,4.38,6.948333333333333,22.97,16.96,19.815,12.23,7.22,9.23625
1900-08-01,9.1,3.72,6.444583333333334,23.23,18.49,20.902083333333334,14.53,9.3,12.360416666666666
1900-08-02,14.8,10.0,12.809166666666668,24.13,19.54,21.592083333333335,18.69,13.25,15.998750000000001
1900-08-03,5.07,2.49,3.8070833333333334,22.35,15.35,20.06625,16.25,11.4,13.937916666666666
1900-08-04,7.05,4.1,6.317083333333334,21.38,16.89,19.523333333333333,7.05,4.1,6.317083333333334
1900-08-05,9.43,3.9,7.81625,22.95,18.95,20.827916666666667,13.6,5.82,9.637500000000001
1900-08-06,12.73,3.5,8.818333333333333,22.91,17.25,19.65125,14.11,6.76,10.581249999999999
1900-08-07,6.99,3.9,4.95625,23.31,15.35,20.06625,16.9,11.44,14.172916666666666
1900-08-08,8.95,3.72,6.444583333333334,22.97,16.89,19.815,14.53,9.3,11.740833333333333
1900-08-09,9.1,2.47,6.444583333333334,23.23,18.49,20.902083333333334,17.38,11.75,14.996666666666668
1900-08-10,11.29,5.1,8.879166666666666,23.27,18.84,20.959166666666665,20.53,14.55,17.417083333333334
1900-08-11,11.44,2.68,7.5,23.7,18.9,20.94,19.4,12.58,16.16208333333333
1900-08-12,15.72,10.69,13.87,26.23,19.92,23.135,18.93,13.67,16.52125
1900-08-13,16.01,9.56,13.769166666666665,25.25,19.5,22.309583333333332,20.52,14.45,17.469166666666666
1900-08-14,15.05,10.85,12.809166666666668,24.5,19.5,22.309583333333332,17.94,12.38,15.319166666666666
1900-08-15,12.44,8.1,10.397916666666667,24.24,18.9,21.61375,13.73,8.69,10.968333333333334
1900-08-16,5.07,2.49,3.8070833333333334,22.3,17.74,19.616666666666667,16.28,10.89,13.879166666666668
1900-08-17,5.07,2.49,3.8070833333333334,22.97,17.4,19.815,10.8,7.3,8.98
1900-08-18,10.8,7.3,9.23625,22.97,17.4,19.815,10.8,7.3,9.23625
1900-08-19,13.57,8.0,10.975833333333334,22.6,16.99,19.615416666666665,13.57,8.0,10.975833333333334
1900-08-20,9.86,4.48,7.3379166666666675,23.0,18.05,20.745833333333334,16.5,10.85,14.185416666666667
1900-08-21,7.88,4.9,6.059230769230769,23.31,16.08,20.06625,13.91,8.18,11.235833333333332
1900-08-22,8.78,1.99,5.28875,22.32,16.08,20.06625,9.33,4.94,7.427083333333333
1900-08-23,6.99,1.99,4.95625,21.09,16.08,18.0,9.33,4.0,7.427083333333333
1900-08-24,6.99,3.9,4.95625,21.92,16.61,19.3625,11.7,4.53,8.704166666666667
1900-08-25,13.25,6.86,11.35875,25.22,19.78,22.5725,13.25,6.86,11.35875
1900-08-26,3.06,-0.92,2.0091666666666668,20.3,16.6,18.145833333333332,8.3,2.71,5.616666666666667
1900-08-27,6.99,3.9,4.95625,21.57,16.17,19.523333333333333,12.03,7.25,9.457916666666668
1900-08-28,14.8,9.97,13.027083333333332,24.5,19.54,22.309583333333332,16.52,10.92,14.4125
1900-08-29,12.49,8.16,10.6925,24.5,19.54,22.309583333333332,17.2,11.98,14.520833333333334
1900-08-30,12.49,7.72,10.6925,24.5,19.5,22.309583333333332,17.73,12.1,15.26
1900-08-31,12.49,6.7,10.441666666666666,24.5,19.5,22.309583333333332,20.47,14.65,17.3625
1900-09-01,1.17,-4.63,-1.877391304347826,19.95,14.25,17.054166666666667,15.14,10.53,12.75125
1900-09-02,2.38,0.35,1.1129166666666668,21.33,17.6299991607666,19.409090832796963,15.12,9.43,12.277916666666668
1900-09-03,5.2,2.39,4.341666666666667,19.16,14.57,15.9775,12.8,8.51,10.442083333333334
1900-09-04,-2.73,-5.0,-3.8870833333333334,19.16,14.85,15.9775,13.62,9.49,11.28875
1900-09-05,-2.73,-5.0,-3.8870833333333334,20.19,14.67,17.537916666666668,12.78,8.8,10.773333333333333
1900-09-06,1.17,-4.63,-1.877391304347826,22.7,17.0300006866455,20.263125042915345,12.88,9.32,11.067083333333334
