,TMAX min band,TMIN min band,TMEAN min band,TMAX max band,TMIN max band,TMEAN max band,TMAX,TMIN,TMEAN
1900-01-01,-8.78,-10.37,-9.227083333333333,6.72,3.47,4.917,6.7,3.28,4.667083333333333
1900-01-02,-8.78,-11.72,-9.227083333333333,3.5,1.88,2.2408333333333332,2.5,-0.87,0.3975000001490116
1900-01-03,-8.39,-11.72,-9.020000000000001,2.66,0.13,1.0845833333333335,-1.4,-3.87,-2.5391666666666666
1900-01-04,-8.78,-13.18,-10.36,3.5,0.8,2.0833333333333335,1.65,0.13,0.595
1900-01-05,-11.1,-14.88,-13.167916666666668,6.07,0.77,3.7704166666666663,0.35,-3.97,-1.925
1900-01-06,-8.4,-9.9,-9.576,7.37,4.13,5.570909090909091,-2.67,-6.0,-4.435416666666667
1900-01-07,-4.3,-11.53,-6.09125,9.85,2.02,5.075833333333333,-2.3,-6.77,-4.700833333333333
1900-01-08,-4.6,-8.4,-5.687142857142858,9.1,5.49,7.184166666666666,-1.0,-4.7,-2.9958333333333336
1900-01-09,-5.02,-8.8,-6.002222222222223,6.7,3.06,4.229166666666667,1.1,-2.85,-0.3125
1900-01-10,-5.6,-8.8,-6.002222222222223,8.28,4.16,5.59625,0.37,-4.56,-1.9691666666666665
1900-01-11,-5.6,-8.8,-6.002222222222223,8.03,4.16,5.684583333333333,-2.3,-6.2,-4.24000001021794
1900-01-12,-5.6,-8.8,-6.002222222222223,9.27,5.65,7.309166666666666,-5.6,-8.8,-6.002222222222223
1900-01-13,-5.84,-9.23,-7.129166666666666,7.41,2.63,5.732916666666667,-5.6,-8.83,-6.348333333333334
1900-01-14,-8.39,-10.3,-9.020000000000001,4.92,1.46,2.97,-3.13,-6.8,-4.700833333333333
1900-01-15,-8.39,-10.3,-9.020000000000001,6.7,1.55,3.87125,-3.93,-7.75,-5.345833333333334
1900-01-16,-3.37,-6.77,-4.545,9.85,2.07,5.075833333333333,-1.3,-4.2,-2.630952380952381
1900-01-17,-3.37,-10.53,-5.741666666666667,10.4,4.25,6.970833333333334,5.15,0.779999971389771,3.29999995231628
1900-01-18,-3.8,-11.53,-6.09125,11.4,4.25,8.604166666666666,3.08,-1.65,0.73375
1900-01-19,-1.0,-4.7,-2.261999994277954,11.87,8.95,9.947647058823529,3.18,-0.85,1.5525
1900-01-20,1.1,-4.7,-1.8499999999999999,12.82,10.0,11.67,3.95,0.14,1.5408333333333333
1900-01-21,2.28,-4.7,-1.8499999999999999,12.82,10.0,11.67,6.28,1.77,3.9475
1900-01-22,1.02,-4.7,-1.8499999999999999,11.4,8.17,9.603846153846153,7.19,2.38,4.861666666666667
1900-01-23,-1.0,-4.7,-2.261999994277954,11.61,8.95,9.947647058823529,7.3,2.5,4.995833333333334
1900-01-24,-1.77,-11.53,-6.09125,10.4,7.11,7.8620833333333335,2.15,-1.45,0.27291666666666664
1900-01-25,-1.72,-7.57,-4.310833333333333,9.9,7.15,7.808181818181819,4.7,0.02,1.8291666666666666
1900-01-26,1.54,-2.73,-0.4895833333333333,11.8,8.46000003814697,10.354166669845581,4.75,0.72,2.8625000000000003
1900-01-27,-3.62,-11.53,-6.09125,9.85,4.25,5.075833333333333,2.72,-1.49,0.27291666666666664
1900-01-28,-7.14,-10.89,-8.554166666666667,6.6,-1.13999998569489,2.4208333333333334,-4.1,-6.77,-5.285
1900-01-29,-11.0,-14.8,-12.3525,1.65,0.45,0.7154166666666667,-6.71,-9.55,-8.816521739130435
1900-01-30,-3.95000004768372,-8.74,-4.433750005960465,9.64,3.88,7.547499999999999,-1.57,-6.4,-4.15375
1900-01-31,-4.93,-10.48,-8.683333333333334,2.55,-1.03,1.2012500000000002,-0.68,-4.99,-2.402083333333333
1900-02-01,-7.57,-13.18,-10.36,2.55,0.54,1.2012500000000002,-0.1,-2.96,-1.0916666666666666
