,TMIN min band,TMIN max band,TMIN
1900-01-01,-15.6,1.2,-5.231088122478335
1900-01-02,-14.2,-1.2,-6.133609468671585
1900-01-03,-10.2,-2.0,-6.179442194559326
1900-01-04,-16.6,-5.0,-10.470746209639126
1900-01-05,-10.0,-1.4,-7.281935566924775
1900-01-06,-9.6,-3.6,-6.953477211710509
1900-01-07,-5.4,-1.0,-3.430593542792166
1900-01-08,-7.8,0.0,-6.003055299549221
1900-01-09,-7.0,0.6,-3.8387464975922407
1900-01-10,-11.0,-0.4,-4.132306105899705
1900-01-11,-11.0,0.6,-4.023596448916984
1900-01-12,-11.0,0.0,-3.6830453016796465
1900-01-13,-8.6,-1.0,-5.8305475956662836
1900-01-14,-8.6,-1.6,-4.4090384805998335
1900-01-15,-9.6,3.6,-4.111116153023486
1900-01-16,-6.0,1.4,-1.763671547072657
1900-01-17,-5.2,1.4,-1.4948524909562084
1900-01-18,-7.2,0.2,-3.857179087519174
1900-01-19,-5.2,1.0,-2.919927748505111
1900-01-20,-4.8,4.8,-0.8431576805460987
1900-01-21,-3.0,4.8,0.7789940571780364
1900-01-22,-6.0,1.8,-2.5390481007082473
1900-01-23,-7.6,0.5,-3.4216058245170506
1900-01-24,-8.3,1.2,-2.278587004238601
1900-01-25,-8.2,3.2,-2.898309903471184
1900-01-26,-2.8,3.8,-0.20616910888366813
1900-01-27,-6.2,-0.7,-4.313978398761779
1900-01-28,-8.0,-4.0,-6.353553803753549
1900-01-29,-9.0,-4.6,-7.598432869779824
1900-01-30,-6.8,0.0,-3.0193392099253575
1900-01-31,-7.6,0.2,-2.4271745729309058
1900-02-01,-13.4,0.2,-5.59108108818735
1900-02-02,-11.4,-2.0,-7.053220639020834
1900-02-03,-8.1,1.6,-3.328184758264057
1900-02-04,-14.0,0.0,-6.126807984873222
1900-02-05,-11.1,-1.0,-6.523375753219368
1900-02-06,-13.0,0.2,-4.182917706774604
1900-02-07,-6.6,-0.1,-2.425987001320287
1900-02-08,-11.8,0.2,-5.521310691939208
1900-02-09,-8.8,3.6,-3.965226672928175
1900-02-10,-11.0,5.0,-1.4744417847149256
1900-02-11,-10.2,4.1,-2.4296180270069256
1900-02-12,-5.2,2.6,-1.4479851260622318
1900-02-13,-5.0,4.2,-0.05660453907496799
1900-02-14,-6.7,4.0,0.9279270082605575
1900-02-15,-6.4,1.2,-2.725183593440161
