,RMSE,MBE,Pearson,Spearman,Brier Score
MAM,2.354412851409956,-0.038470440598177856,0.9034681494999708,0.8966683053793264,0.11212814645308924
DJF,3.1829281507371032,0.16570762650803578,0.7429995625840488,0.7347403979148188,0.19559902200489
JJA,2.2201560570364296,0.033804350465524914,0.8427902198996838,0.8021780071016648,0.0
SON,2.623927794506354,0.09815156201464549,0.8946982879356968,0.8970327073504121,0.07314410480349345
