,TMAX min band,TMAX max band,TMAX
1900-01-01,-2.6,-2.6,-2.6
1900-01-02,-4.2,-0.7,-2.6808446156945966
1900-01-03,-2.8,-2.7,-2.7487523304528265
1900-01-04,-6.4,-5.6,-5.871233045760208
1900-01-05,-5.2,-2.4,-3.8754042595475475
1900-01-06,-3.2,-2.6,-2.894900001209446
1900-01-07,-1.2,1.0,0.2885584896943327
1900-01-08,-3.6,1.2,-3.236898934102928
1900-01-09,-1.4,2.0,0.47321239583604724
1900-01-10,-3.9,2.2,-0.10776127552375055
1900-01-11,0.3,3.0,1.7053282521890778
1900-01-12,0.3,5.4,2.7025776834262247
1900-01-13,-2.2,0.2,-1.1842078617857714
1900-01-14,-1.0,0.2,-0.6399299305684969
1900-01-15,-5.4,2.0,-2.822554836873081
1900-01-16,2.0,2.0,2.0
1900-01-17,3.6,3.6,3.6
1900-01-18,0.2,2.0,1.017248841458236
1900-01-19,3.6,5.8,4.7076565761943545
1900-01-20,1.4,4.0,2.095687510102985
1900-01-21,7.0,9.8,9.152005365895992
1900-01-22,1.4,8.0,4.814345981201045
1900-01-23,1.4,5.4,2.7707436619089965
1900-01-24,1.2,3.2,2.181394825997335
1900-01-25,5.8,9.2,7.722048140501413
1900-01-26,4.6,14.0,9.138597763815978
1900-01-27,0.2,2.4,1.2853264906404807
1900-01-28,-3.2,1.8,-1.4168797966125941
1900-01-29,-6.0,-0.3,-3.9925142819068076
1900-01-30,3.0,3.2,3.059784054878859
1900-01-31,-0.8,1.0,0.4767641741947975
1900-02-01,0.2,1.6,0.8231749218691385
1900-02-02,-2.4,-1.8,-2.168876998579189
1900-02-03,-2.2,2.3,0.023889219098327044
1900-02-04,-5.6,2.6,-2.943185276639535
1900-02-05,-5.0,6.0,-2.667933370400229
1900-02-06,0.8,3.0,2.1395769534583526
1900-02-07,-2.0,3.5,0.9913690156239534
1900-02-08,-2.2,3.2,-0.04511773108016997
1900-02-09,-3.0,-1.0,-1.964152572283074
1900-02-10,3.4,4.4,4.0213395192515815
1900-02-11,-2.0,2.4,0.34169224003279497
1900-02-12,1.4,3.0,2.150490015291257
1900-02-13,3.8,6.2,5.31818805157484
1900-02-14,8.0,9.8,8.870472300346478
1900-02-15,-1.6,1.6,0.777277799337568
1900-02-16,0.0,1.4,0.7774620324827367
1900-02-17,1.9,4.0,2.7577265343505912
1900-02-18,1.4,2.0,1.7903166526779968
1900-02-19,-0.8,4.8,0.3400440426317581
1900-02-20,-1.0,0.9,-0.1694668375759218
1900-02-21,-3.4,2.0,-1.202052900679454
1900-02-22,3.4,5.6,4.284877873625411
1900-02-23,1.3,2.4,1.8036197613239313
1900-02-24,6.8,7.4,7.046591438437055
1900-02-25,1.4,5.8,4.670481103088106
1900-02-26,4.7,6.2,5.383657292092248
1900-02-27,-0.6,2.1,0.29445812531773785
1900-02-28,-0.4,4.4,2.002869342815263
1900-03-01,9.5,10.2,10.002493639127893
1900-03-02,7.2,9.4,8.414929544597387
1900-03-03,5.6,10.0,7.196286408101941
1900-03-04,7.2,9.4,8.223047076801137
1900-03-05,1.0,15.0,9.742986109935016
1900-03-06,7.3,17.4,12.879797807320381
1900-03-07,7.1,19.4,13.449508972556531
1900-03-08,6.8,16.6,9.093145616925245
1900-03-09,15.0,20.0,17.674649745246313
1900-03-10,13.6,21.7,14.295153660008253
1900-03-11,13.8,15.0,14.494616854121045
1900-03-12,7.0,7.4,7.162007312120734
1900-03-13,11.6,14.6,12.885113522119353
1900-03-14,3.6,5.8,5.078670551936312
1900-03-15,6.8,19.6,13.149141186306855
1900-03-16,-0.8,5.6,0.1687748772617647
1900-03-17,-4.4,-0.5,-2.1576530447969575
1900-03-18,0.0,10.0,3.8719775557632405
1900-03-19,1.5,3.6,2.3111779033695283
1900-03-20,-1.3,2.8,2.0728852435122485
1900-03-21,-3.2,0.0,-1.2786651045003488
1900-03-22,1.0,1.0,1.0
1900-03-23,5.4,8.0,6.98487959328528
1900-03-24,3.0,10.8,6.8537085131891065
1900-03-25,3.2,5.7,4.02280484389554
1900-03-26,-3.8,5.6,-1.495800298071531
1900-03-27,-3.2,3.0,0.34652149432956236
1900-03-28,-2.4,-0.3,-1.2734086366373611
1900-03-29,3.5,4.8,4.307991256529514
1900-03-30,-0.6,9.0,4.70383557386643
1900-03-31,2.0,15.0,10.460742523045601
1900-04-01,-0.8,12.2,5.6008861126617635
1900-04-02,0.8,1.0,0.8987661491208994
1900-04-03,2.2,5.5,3.88630390791046
1900-04-04,-1.0,4.6,2.4154192548582225
1900-04-05,-2.1,5.0,0.6678763414070591
1900-04-06,4.8,6.6,5.725189119483373
1900-04-07,-2.8,-1.0,-1.8703776939351773
1900-04-08,-0.2,2.5,0.9376834515688445
1900-04-09,-4.2,-3.6,-3.9122119754176317
1900-04-10,-1.0,0.6,0.1782602473499982
1900-04-11,0.6,2.2,1.3311491752471063
1900-04-12,12.8,18.4,14.474929744258743
1900-04-13,7.5,20.2,14.50622698984032
1900-04-14,6.0,15.4,9.055330376787671
1900-04-15,9.0,12.4,11.313582362613971
1900-04-16,9.6,14.6,12.052347498730944
1900-04-17,9.6,16.2,11.802755623095408
1900-04-18,4.0,6.8,5.340675921174408
1900-04-19,2.2,13.8,11.347880886076407
1900-04-20,7.0,15.8,12.767442052344839
1900-04-21,13.4,13.4,13.4
1900-04-22,14.0,16.2,15.070458168692106
1900-04-23,9.4,16.4,13.064547248585193
1900-04-24,-0.8,5.2,1.843168101865877
1900-04-25,8.4,9.7,8.99429361352566
1900-04-26,-2.0,16.4,4.479647574363847
1900-04-27,5.0,7.7,5.5676855389955975
1900-04-28,3.8,7.8,5.492284768853823
1900-04-29,6.4,9.6,8.138303529908095
1900-04-30,14.0,14.4,14.045603393704894
1900-05-01,2.8,4.6,3.7677633912328057
1900-05-02,3.0,3.5,3.226546379680684
1900-05-03,5.0,10.0,5.591927983988906
1900-05-04,8.6,16.8,13.25302909755072
1900-05-05,6.4,13.0,9.005866269511207
1900-05-06,0.0,4.0,1.724201063395537
1900-05-07,2.0,4.5,3.4753010651592517
1900-05-08,4.0,13.0,6.389107614147008
1900-05-09,-1.8,-0.8,-1.3705154141892384
1900-05-10,10.0,14.0,13.070728780705883
1900-05-11,8.6,13.0,11.082524042409364
1900-05-12,8.4,9.0,8.709530260041621
1900-05-13,2.2,3.2,2.755461262507539
1900-05-14,1.8,4.0,2.8473295384131507
1900-05-15,1.2,9.6,5.219754505239134
1900-05-16,5.0,9.6,8.147971683495927
1900-05-17,-4.8,5.0,2.467778506859379
1900-05-18,0.4,7.2,4.825131774897206
1900-05-19,1.0,9.4,3.456431621883358
1900-05-20,4.0,5.6,4.787720631073749
1900-05-21,12.5,16.4,14.33348790382466
1900-05-22,5.2,7.8,6.532516762595951
1900-05-23,-0.8,7.2,3.4475667807421257
1900-05-24,11.2,12.3,11.792732613291141
1900-05-25,-8.0,17.6,11.554117849795626
1900-05-26,16.0,22.4,19.782821568814526
1900-05-27,11.4,16.4,14.398856571559497
1900-05-28,10.5,13.6,11.608539299512495
1900-05-29,16.0,21.0,18.600884400108747
1900-05-30,3.7,9.4,6.778413690889882
1900-05-31,8.2,11.6,9.753648621657348
1900-06-01,8.8,11.8,9.621465352579982
1900-06-02,15.4,17.0,16.523715667205465
1900-06-03,8.0,12.2,11.715801649381227
1900-06-04,10.4,18.8,13.212786225485516
1900-06-05,18.0,18.8,18.380400216195973
1900-06-06,10.8,23.5,17.925422474606783
1900-06-07,13.4,18.5,16.441432662386532
1900-06-08,25.6,26.0,25.77737030129299
1900-06-09,13.6,19.3,16.043370342125442
1900-06-10,6.4,18.0,13.570964374391982
1900-06-11,6.4,18.0,12.320822736871317
1900-06-12,7.8,23.8,22.456908483905227
1900-06-13,23.0,23.8,23.466588091959988
1900-06-14,24.0,26.2,25.345367997705004
1900-06-15,17.0,25.0,21.16160594799061
1900-06-16,18.0,25.0,21.52075513125232
1900-06-17,20.2,22.4,21.415915878020375
1900-06-18,26.2,28.0,26.887136293483746
1900-06-19,23.0,26.6,24.713379677711384
1900-06-20,11.8,23.0,17.36926541269627
1900-06-21,20.0,23.2,21.945196450342674
1900-06-22,24.6,25.4,24.71455255255702
1900-06-23,17.6,27.9,23.53874918124481
