,TMIN min band,TMIN max band,TMIN
1900-05-05,-1.6,7.8,2.3004372836783604
1900-05-06,-4.2,-0.8,-2.2720703791221464
1900-05-07,-5.4,-1.9,-3.06502106201048
1900-05-08,-2.0,7.0,0.4689576270964234
1900-05-09,-6.6,-1.6,-4.622879717493317
1900-05-10,4.8,6.8,5.279287497956645
1900-05-11,4.5,6.8,5.741231467672398
1900-05-12,1.0,2.2,1.729473635943102
1900-05-13,-6.0,-0.8,-3.2882267312806146
1900-05-14,-3.2,0.2,-1.083506226257799
1900-05-15,-3.6,2.1,-0.4822397648465063
1900-05-16,-3.6,1.2,-0.839031227807635
1900-05-17,-8.6,0.0,-2.3744974610718956
1900-05-18,-5.0,1.4,-1.427434883679955
1900-05-19,-5.2,5.0,-1.8298946758052594
1900-05-20,-2.0,1.1,-0.3565017103828406
1900-05-21,0.0,5.4,2.7769510292460726
1900-05-22,-0.8,4.2,1.9698540562429239
1900-05-23,-5.2,0.4,-2.655071863434725
1900-05-24,-0.5,5.4,3.155780357087218
1900-05-25,-11.2,11.6,5.722955752737191
1900-05-26,6.2,13.2,9.681447366849271
1900-05-27,-2.5,5.4,2.3556886073186636
1900-05-28,0.5,14.0,4.707158388518836
1900-05-29,5.8,14.0,10.113308894763485
1900-05-30,0.0,3.0,2.0562428549959844
1900-05-31,-0.4,6.4,1.9025590865027722
1900-06-01,3.2,5.6,4.92236827543649
1900-06-02,2.2,6.6,4.760828252446078
1900-06-03,-2.0,0.6,0.2363246358865111
1900-06-04,3.0,8.8,5.104165261617937
1900-06-05,4.5,5.8,5.164605750516586
1900-06-06,-1.0,13.4,7.2466105424895675
1900-06-07,4.3,7.6,5.855062003040757
1900-06-08,9.0,16.8,14.145815387305902
1900-06-09,5.0,14.0,8.842116421875787
1900-06-10,1.4,12.7,7.839949480151178
1900-06-11,1.4,9.6,4.727226336646824
1900-06-12,5.4,13.6,12.74418577572839
1900-06-13,11.8,13.5,12.349834637367195
1900-06-14,13.4,15.0,14.143365800540684
1900-06-15,7.0,15.0,11.819224800465108
1900-06-16,7.4,13.5,11.114131108511131
1900-06-17,10.6,13.2,12.346335144082184
1900-06-18,14.5,17.8,16.176440591118716
1900-06-19,14.3,17.0,15.358113369699405
1900-06-20,4.6,16.6,10.044053352753735
1900-06-21,11.0,11.4,11.156703866372869
1900-06-22,14.8,16.0,15.398154551529025
1900-06-23,8.0,14.0,11.3574218309544
1900-06-24,9.4,18.8,15.617600640626618
1900-06-25,13.0,14.0,13.638337886792817
1900-06-26,9.0,15.4,12.516508478866434
1900-06-27,3.6,17.0,10.308950753254194
1900-06-28,8.4,15.0,13.32540357483944
1900-06-29,1.2,10.2,7.823131314443686
1900-06-30,6.0,16.2,11.830907985080502
1900-07-01,8.4,10.8,9.693359023520951
1900-07-02,4.4,12.0,6.913983025186781
1900-07-03,6.4,9.2,7.814719053130085
1900-07-04,6.0,10.0,8.735995372312715
1900-07-05,1.8,9.0,3.712296347037985
1900-07-06,4.4,11.7,10.746174064557042
1900-07-07,2.0,7.8,5.58262977774399
1900-07-08,6.2,11.0,8.8617625076108
1900-07-09,12.0,15.0,14.264312428505443
1900-07-10,6.8,13.2,10.862905202682555
1900-07-11,5.0,16.0,9.582980382412057
1900-07-12,7.3,10.0,8.994463552547565
1900-07-13,4.0,15.6,6.887400139349575
1900-07-14,6.0,16.6,14.571514239452785
1900-07-15,10.8,16.6,13.764248821000741
1900-07-16,11.0,17.4,14.354852645699394
1900-07-17,9.6,17.0,14.994712542416526
1900-07-18,7.6,13.6,10.974871552750201
1900-07-19,7.6,13.0,11.723404555401935
1900-07-20,11.8,14.2,13.144510641615776
1900-07-21,12.6,15.0,14.67880969638395
1900-07-22,6.0,12.0,9.885262087136615
1900-07-23,14.2,17.8,16.89041617483221
1900-07-24,7.5,13.5,11.085598154786709
1900-07-25,7.2,13.0,11.095351895410461
1900-07-26,8.0,12.2,10.005026145027118
1900-07-27,12.0,15.6,14.065977831895527
1900-07-28,7.8,12.8,11.786347336376608
1900-07-29,7.2,15.8,9.07112366415362
1900-07-30,6.2,13.8,11.058330323623695
1900-07-31,10.0,12.4,10.835577599918503
1900-08-01,11.4,14.2,12.444340746225281
1900-08-02,9.8,15.4,12.547345232646512
1900-08-03,3.8,8.8,5.339806100718419
1900-08-04,5.2,10.0,7.410634357711633
1900-08-05,5.4,10.6,8.111925511907721
1900-08-06,2.2,14.8,11.297205489597616
1900-08-07,9.0,14.5,10.133383641705612
1900-08-08,2.7,13.0,8.460452486378639
1900-08-09,11.0,12.5,11.497156939815508
1900-08-10,11.6,15.8,13.773473800686903
1900-08-11,4.0,11.2,8.45392742046667
1900-08-12,12.5,18.0,15.429097375669272
1900-08-13,6.0,17.8,9.209085348623912
1900-08-14,6.6,13.2,10.613118378509775
1900-08-15,9.0,13.3,11.502908387737362
1900-08-16,7.8,9.8,8.852013683802808
1900-08-17,8.0,18.0,15.988836610255053
1900-08-18,11.0,12.0,11.507010262789564
1900-08-19,6.6,16.0,12.439112082586922
1900-08-20,5.6,9.8,8.758538177520705
1900-08-21,6.5,10.5,9.358367284126746
1900-08-22,0.8,10.5,6.497366363640642
1900-08-23,3.6,9.2,5.962437132112742
1900-08-24,-2.6,11.4,5.2088592648879235
1900-08-25,6.4,12.0,10.315432710399916
1900-08-26,1.4,5.0,2.9389024483218305
1900-08-27,6.4,11.0,9.15164776300539
1900-08-28,10.6,18.2,12.975627350579234
1900-08-29,6.4,13.8,10.452355729699095
1900-08-30,6.4,18.0,12.849403338959222
1900-08-31,12.6,17.6,16.430562835720323
1900-09-01,5.4,12.2,8.693030885997496
1900-09-02,-4.0,14.0,5.7834070422698005
1900-09-03,4.1,11.8,7.210840702564465
1900-09-04,-4.4,7.0,1.7247823753884133
1900-09-05,5.6,18.0,10.7645904461732
1900-09-06,3.8,5.2,4.836920792314027
1900-09-07,7.2,15.9,13.628531353938323
1900-09-08,-0.8,6.4,2.457603591682511
1900-09-09,-5.0,9.6,-0.15205204586378837
1900-09-10,6.0,14.4,8.384308798450732
1900-09-11,1.5,14.6,9.636168447508119
1900-09-12,10.0,13.1,12.122478951487581
1900-09-13,4.2,5.2,4.895634884384041
1900-09-14,4.2,8.6,6.836332510766308
1900-09-15,5.4,13.2,9.379659921095444
1900-09-16,4.8,9.4,6.861130770175024
1900-09-17,2.4,9.8,6.622201743304816
1900-09-18,4.4,11.5,7.688123254869693
1900-09-19,2.0,8.0,4.796144610319808
1900-09-20,-1.6,8.0,2.60625760137838
1900-09-21,1.2,14.0,6.317331619885057
1900-09-22,4.4,11.0,7.46626370721928
1900-09-23,2.0,13.0,8.06366989263094
1900-09-24,5.2,8.8,5.913376533655747
1900-09-25,1.0,3.8,2.3747301088160695
1900-09-26,-6.8,6.4,1.387787124150332
1900-09-27,3.0,9.2,5.915025104106902
1900-09-28,3.4,7.8,5.717268468612839
1900-09-29,-1.8,10.6,8.351317672644116
1900-09-30,1.2,7.0,4.828821686654522
1900-10-01,6.8,11.8,9.466190054523409
1900-10-02,-4.2,8.4,4.100381013504209
1900-10-03,5.4,8.2,6.450464131402248
1900-10-04,-6.2,8.4,3.9372304087971
1900-10-05,2.8,7.8,4.846366304388202
1900-10-06,7.0,8.4,7.557943212038922
1900-10-07,0.0,8.0,4.251982945580577
1900-10-08,0.0,7.4,4.696943507290829
1900-10-09,7.2,8.2,7.622296032523562
1900-10-10,2.0,9.0,5.658422417452155
1900-10-11,7.0,14.5,9.568377084095422
1900-10-12,2.6,9.6,5.295289052995984
1900-10-13,-3.6,0.8,-2.0216061169768946
1900-10-14,-9.0,7.0,3.757034601237795
1900-10-15,6.0,13.2,10.406704950156962
1900-10-16,-1.2,10.4,4.7163630178350315
1900-10-17,4.5,16.0,10.948542562340311
1900-10-18,7.0,9.4,8.501704427065604
1900-10-19,5.2,10.4,7.291969072152521
1900-10-20,-3.6,5.0,-0.5369129826668491
1900-10-21,-5.0,5.6,0.09108335192244561
1900-10-22,-4.6,3.3,-0.8220431152126007
1900-10-23,-2.2,-1.0,-1.6032415476554152
1900-10-24,3.8,7.0,5.09832371022093
1900-10-25,4.6,9.0,6.591099082048386
1900-10-26,-6.0,1.8,-1.5617690717300317
1900-10-27,-1.2,6.8,3.3737855611004997
1900-10-28,2.0,8.4,5.297408912007023
