,RMSE,MBE,Pearson,Spearman,Brier Score
MAM,4.832481618767989,0.2590638026015862,0.5245185465742754,0.5379280858589807,0.2208237986270023
DJF,3.5616564015445045,0.094907314570736,0.6339715559841578,0.6387226731536175,0.24449877750611246
JJA,3.733600785156767,0.1465816059191324,0.47982027148839995,0.40510068346727235,0.0
SON,5.009024930674444,0.3850115859964877,0.5675875889760724,0.5449826106372583,0.1091703056768559
