,TMIN min band,TMIN max band,TMIN
1900-01-01,-7.9,-3.2,-6.934015918953027
1900-01-02,-14.2,-3.2,-9.425511649325875
1900-01-03,-10.0,-4.2,-7.172364833736058
1900-01-04,-12.2,-7.8,-9.291781751681144
1900-01-05,-9.8,-6.0,-8.0023343522431
1900-01-06,-9.6,-5.2,-7.362600008869273
1900-01-07,-5.4,-4.2,-4.588059005621274
1900-01-08,-7.2,0.0,-6.655348401154392
1900-01-09,-6.0,-3.0,-4.347165533085841
1900-01-10,-6.8,-1.4,-3.4429362111193855
1900-01-11,-4.1,-4.0,-4.047950805474478
1900-01-12,-4.1,-0.4,-2.356953445357445
1900-01-13,-8.2,-5.4,-7.0149091720834
1900-01-14,-4.6,-3.2,-4.179918252329912
1900-01-15,-7.6,-0.4,-5.092215516957593
1900-01-16,-1.0,-1.0,-1.0
1900-01-17,-0.2,1.4,0.6820801583552594
1900-01-18,-3.8,-1.6,-2.801140304884378
1900-01-19,-5.2,-4.8,-5.00139210476261
1900-01-20,-4.8,1.8,-3.0340240128155003
1900-01-21,0.7,2.8,1.185995975578006
1900-01-22,-3.2,1.8,-0.613374256665875
1900-01-23,-5.0,-2.2,-3.1595205633362977
1900-01-24,-3.8,-1.4,-2.622326208803198
1900-01-25,-5.4,0.2,-2.234273650938848
1900-01-26,-2.0,2.0,-0.06868180263149817
1900-01-27,-6.2,-3.6,-4.91734142015216
1900-01-28,-7.0,-4.0,-5.930127877967557
1900-01-29,-8.8,-6.8,-8.09561904628309
1900-01-30,-2.6,-2.0,-2.179352164636576
1900-01-31,-3.6,-2.6,-2.890686569891779
1900-02-01,-4.2,0.2,-2.2414502455541356
1900-02-02,-11.0,-5.2,-7.434189013734505
1900-02-03,-6.6,-0.1,-3.387715572413527
1900-02-04,-14.0,-2.6,-10.30637953093789
1900-02-05,-7.2,-1.0,-5.885562445134675
1900-02-06,-3.6,-2.0,-2.974237784333347
1900-02-07,-2.8,-2.0,-2.364891779545607
1900-02-08,-11.4,-1.5,-7.449382506980313
1900-02-09,-6.0,-3.8,-4.860567829511381
1900-02-10,-0.8,1.0,-0.11841113465284567
1900-02-11,-10.2,0.0,-4.771531625378521
1900-02-12,-1.2,-1.2,-1.2
1900-02-13,1.4,4.2,3.17121939350398
1900-02-14,0.8,2.4,1.6262468441364641
1900-02-15,-5.8,-4.4,-4.759940962789814
1900-02-16,-6.0,-0.4,-2.890151870069053
1900-02-17,-2.4,-0.8,-1.4535059309337837
1900-02-18,-3.0,-1.0,-2.3010555089266562
1900-02-19,-5.8,0.2,-4.578524240037401
1900-02-20,-3.6,-1.8,-2.8131791092824527
1900-02-21,-6.2,-5.8,-6.037189103754034
1900-02-22,0.4,1.4,0.9977827847157217
1900-02-23,-2.7,-2.4,-2.5626491560025637
1900-02-24,-1.4,0.6,-0.22197146145684887
1900-02-25,-0.8,-0.4,-0.6973164639171007
1900-02-26,-0.1,3.0,1.3128917369906459
1900-02-27,-2.6,-2.0,-2.401231527707169
1900-02-28,-7.2,-0.5,-3.8459948756536955
1900-03-01,-0.4,2.6,1.7535441676909798
1900-03-02,-0.8,0.0,-0.44179256167177683
