,TMAX min band,TMAX max band,TMAX
1900-01-01,-2.6,2.0,-1.3615129865886493
1900-01-02,-4.2,-0.7,-2.2422878622691207
1900-01-03,-3.4,-0.2,-2.376191718867756
1900-01-04,-8.0,-2.4,-5.538144135968338
1900-01-05,-7.8,-2.4,-4.724682331305036
1900-01-06,-4.4,1.0,-2.7097381420376747
1900-01-07,-1.2,3.0,1.286847969613874
1900-01-08,-5.4,5.0,-2.7732750882560406
1900-01-09,-1.4,3.0,0.7950890149061616
1900-01-10,-3.9,2.2,-0.7457500290742356
1900-01-11,-2.8,3.0,1.1695964343231282
1900-01-12,-2.2,5.4,2.2362141112737177
1900-01-13,-5.2,2.0,-0.7342048671221942
1900-01-14,-5.2,0.6,-1.1825400008125837
1900-01-15,-5.4,4.4,-1.0862183802780003
1900-01-16,0.4,5.8,2.4989473454205084
1900-01-17,2.6,4.0,3.41475525528749
1900-01-18,-4.7,2.0,-1.047828944073785
1900-01-19,3.0,5.8,4.6442695123942626
1900-01-20,1.4,8.4,3.9645730762577474
1900-01-21,7.0,9.8,8.520144002483136
1900-01-22,1.4,8.0,4.250710100412562
1900-01-23,1.4,5.4,3.04604537677527
1900-01-24,-1.6,6.0,2.1603493827107365
1900-01-25,0.0,9.2,5.261293348746023
1900-01-26,3.8,14.0,7.491926263560179
1900-01-27,0.2,4.4,1.9357135338700708
1900-01-28,-3.2,1.8,-1.2392228575491597
1900-01-29,-7.2,-0.3,-5.294730915129873
1900-01-30,0.0,3.2,1.8496027702475357
1900-01-31,-0.8,1.8,0.9605727325799763
1900-02-01,-8.4,3.0,-1.3631923253311617
1900-02-02,-3.6,-1.8,-2.4297635479119655
1900-02-03,-2.2,2.3,-0.04384416997655188
1900-02-04,-5.6,2.6,-0.8890144038805522
1900-02-05,-5.8,6.0,-3.005482583315185
1900-02-06,-3.4,3.0,0.7293828252368034
1900-02-07,-2.0,3.5,1.1444473294869033
1900-02-08,-2.2,3.2,0.16615492079590802
1900-02-09,-3.0,4.8,-0.23564186205772747
1900-02-10,0.8,4.4,3.336808654911081
1900-02-11,-2.0,2.4,0.8539878670535415
1900-02-12,-1.4,4.9,1.6535787030677267
1900-02-13,1.0,6.2,3.766991092036531
1900-02-14,0.0,9.8,7.420505880541501
1900-02-15,-1.6,9.8,3.2097034343753887
1900-02-16,-2.4,1.4,-0.3175783999011359
1900-02-17,-0.2,4.0,1.6849416703837665
1900-02-18,-0.4,4.6,1.6033100252112218
1900-02-19,-0.8,4.8,0.7341872330839674
1900-02-20,-1.0,4.6,0.7771775813113608
1900-02-21,-4.0,5.7,-0.09839633134300861
1900-02-22,-1.5,5.8,3.2477390307298855
1900-02-23,-1.6,3.2,1.0837815621817017
1900-02-24,0.8,7.4,4.63883283284367
1900-02-25,-1.4,5.8,3.03795099107313
1900-02-26,-1.6,6.2,2.9566163341208513
1900-02-27,-0.6,9.6,2.914433539666236
1900-02-28,-5.4,4.4,-0.07258815313148063
1900-03-01,4.0,13.2,9.539177867967329
1900-03-02,-1.2,20.0,7.999772345143396
1900-03-03,-0.4,14.0,5.899876685857765
1900-03-04,1.8,9.4,5.809801968928874
1900-03-05,1.0,15.0,7.915930209608245
1900-03-06,7.3,17.4,12.396861902814031
1900-03-07,6.6,19.4,12.694771415813038
1900-03-08,6.8,16.6,9.757492274940319
1900-03-09,1.2,20.0,12.391138808994723
1900-03-10,-4.2,21.7,13.551717381275258
1900-03-11,5.8,17.0,13.436062083416143
1900-03-12,5.8,15.1,8.86394018918917
1900-03-13,8.2,14.6,11.72562222844722
1900-03-14,3.0,11.2,5.799346406121898
1900-03-15,-1.2,19.6,8.924617272279589
1900-03-16,-0.8,8.2,1.3496309766545231
1900-03-17,-4.4,-0.5,-1.9326544474040206
1900-03-18,-0.2,11.4,4.7152621396440875
1900-03-19,0.0,3.6,1.8247592207552128
1900-03-20,-1.3,5.2,1.885591613670358
1900-03-21,-3.2,3.8,0.4908893072777468
1900-03-22,-6.6,2.2,0.11042622742472619
1900-03-23,3.0,8.0,5.53417395747625
1900-03-24,-1.0,10.8,4.308357115197857
1900-03-25,-1.0,5.7,3.1202720499475043
1900-03-26,-3.8,6.0,0.4787291462133789
1900-03-27,-3.2,8.6,1.850573744333301
1900-03-28,-2.4,2.4,-0.1660818127750857
1900-03-29,2.2,7.0,4.580620741462783
1900-03-30,-0.6,9.0,4.0018623401330915
1900-03-31,1.6,15.6,9.464537512862957
1900-04-01,-0.8,12.2,3.59401425856589
1900-04-02,0.8,9.2,4.109450801915959
1900-04-03,0.0,14.0,4.469840997456349
1900-04-04,-1.0,4.6,2.180475504270762
1900-04-05,-2.1,9.0,1.3299118693446355
1900-04-06,0.2,6.6,3.840755040432412
1900-04-07,-4.6,4.4,-1.2948792055734413
1900-04-08,-3.4,2.5,-0.8825026517664198
1900-04-09,-4.2,0.5,-3.0175723865502246
1900-04-10,-3.4,1.8,-0.29894374698711845
1900-04-11,0.6,16.4,7.2476277804932
1900-04-12,4.0,18.4,10.206162448079132
1900-04-13,7.5,20.6,14.882796214836514
1900-04-14,6.0,22.2,10.554597969490207
1900-04-15,9.0,13.4,11.703167302705133
1900-04-16,5.8,15.0,11.83911833325554
1900-04-17,8.4,16.2,11.788702789165242
1900-04-18,4.0,19.6,8.815485328729133
1900-04-19,2.2,14.6,10.72001197090825
1900-04-20,7.0,20.0,15.578228221837637
1900-04-21,13.2,19.0,14.709803930314711
1900-04-22,2.8,16.2,11.252048474902793
1900-04-23,3.2,16.4,11.402500827365884
1900-04-24,-0.8,17.4,6.741383329397862
1900-04-25,7.0,20.0,10.00520091609833
1900-04-26,-2.0,16.4,6.239864535111727
1900-04-27,1.2,9.3,5.548218121007492
1900-04-28,-1.0,14.2,6.2591162879648605
1900-04-29,-3.8,9.6,4.934474370816502
1900-04-30,0.4,16.6,13.176993326630523
1900-05-01,2.8,16.8,7.23789411991637
1900-05-02,-2.2,15.0,5.05552468524558
1900-05-03,4.7,10.0,5.747231882371321
1900-05-04,6.8,16.8,12.273611432853718
1900-05-05,3.8,19.0,10.423972728305525
1900-05-06,0.0,8.0,3.3441300633213373
1900-05-07,2.0,8.0,4.525306328703686
1900-05-08,0.8,13.0,4.897989474978355
1900-05-09,-1.8,5.4,0.3929326384269759
1900-05-10,3.4,16.8,11.91556894374715
1900-05-11,0.6,13.0,8.515775881764174
1900-05-12,6.4,9.0,8.203498133445875
1900-05-13,0.4,3.2,1.5995373334498013
1900-05-14,-4.8,13.9,3.498329527122589
1900-05-15,1.2,9.6,5.130743344447621
