,TMAX min band,TMAX max band,TMAX
1900-01-01,-2.6,1.6,-1.9805731697733542
1900-01-02,-4.2,-0.7,-2.771491311017348
1900-01-03,-2.8,-0.2,-1.918765203577873
1900-01-04,-8.0,-5.6,-6.343440274472785
1900-01-05,-7.8,-2.4,-4.953868759337191
1900-01-06,-3.2,1.0,-2.4589542715055757
1900-01-07,-1.2,3.0,0.9021505645702572
1900-01-08,-5.4,1.2,-3.3557767055805345
1900-01-09,-1.4,3.0,1.2246095219619761
1900-01-10,-3.9,2.2,-0.930565078056478
1900-01-11,0.3,3.0,1.855844715268818
1900-01-12,0.3,5.4,2.859977378567085
1900-01-13,-2.2,1.4,-0.4668113155191814
1900-01-14,-1.0,0.2,-0.7212212821851018
1900-01-15,-5.4,2.0,-2.2603460598336937
1900-01-16,2.0,3.0,2.2862125384616876
1900-01-17,3.6,4.0,3.704050521100785
1900-01-18,-4.7,2.0,-0.6256913835611305
1900-01-19,3.6,5.8,4.849569699893151
1900-01-20,1.4,7.0,3.088531780210097
1900-01-21,7.0,9.8,8.824592755654546
1900-01-22,1.4,8.0,4.150366172037646
1900-01-23,1.4,5.4,3.098335262917218
1900-01-24,-1.6,3.2,0.9735106686587109
1900-01-25,0.4,9.2,5.912640234037522
1900-01-26,3.8,14.0,7.718448811959756
1900-01-27,0.2,4.0,1.7402788569900385
1900-01-28,-3.2,1.8,-1.3268053304848388
1900-01-29,-6.0,-0.3,-4.4689405788091
1900-01-30,0.6,3.2,2.4985543940766077
1900-01-31,-0.8,1.8,0.7534324665305995
1900-02-01,-3.1,1.6,-0.38113368106039563
1900-02-02,-2.4,-1.8,-2.0774768220238937
1900-02-03,-2.2,2.3,0.28337291385073327
1900-02-04,-5.6,2.6,-1.8418071605349748
1900-02-05,-5.0,6.0,-2.7229438779518342
1900-02-06,-1.8,3.0,1.26109971398275
1900-02-07,-2.0,3.5,0.9939278306482627
1900-02-08,-2.2,3.2,0.24050467102156553
1900-02-09,-3.0,-0.2,-1.3924969271410157
1900-02-10,0.8,4.4,3.330546025309771
1900-02-11,-2.0,2.4,0.7350445857472558
1900-02-12,0.4,3.0,1.6184314769656587
1900-02-13,1.0,6.2,4.350287532698034
1900-02-14,8.0,9.8,8.772426825295195
1900-02-15,-1.6,9.8,2.5457848587764933
1900-02-16,-1.2,1.4,0.1942158279927701
1900-02-17,-0.2,4.0,1.9488696874296534
1900-02-18,0.9,2.0,1.5795462129784146
1900-02-19,-0.8,4.8,0.5686570654196313
1900-02-20,-1.0,4.6,1.2518727767775124
1900-02-21,-4.0,2.0,-1.9309410023750944
1900-02-22,1.4,5.6,3.5144230588546588
1900-02-23,-0.6,2.4,1.2511913601339406
1900-02-24,0.8,7.4,5.519812450216586
1900-02-25,1.4,5.8,4.098810878316049
1900-02-26,-1.6,6.2,3.268526921498137
1900-02-27,-0.6,9.6,2.5877181758825585
