,PCNR min band,PCNR max band,PCNR
1900-01-01,2.8,35.2,15.978158535163772
1900-01-02,0.0,36.1,10.270010607331333
1900-01-03,3.5,13.5,7.193498555096025
1900-01-04,0.0,14.0,3.658454012703281
1900-01-05,-0.3,14.0,3.053364793427759
1900-01-06,-0.3,3.0,1.0732270675300266
1900-01-07,0.1,4.0,1.2635886201551958
1900-01-08,0.0,6.0,0.312959583650398
1900-01-09,-0.3,2.7,0.6249260030965829
1900-01-10,0.0,4.1,1.1384340344155126
1900-01-11,0.0,7.0,2.2793562525573976
1900-01-12,0.0,7.0,1.0017700133541236
1900-01-13,0.0,19.4,4.177250780843991
1900-01-14,0.0,4.7,1.349853022823507
1900-01-15,0.1,32.6,9.357977190541098
1900-01-16,0.0,3.8,1.1467633410146871
1900-01-17,0.0,8.4,2.315932857987264
1900-01-18,-0.3,16.5,3.8547056185649398
1900-01-19,0.0,0.0,0.0
1900-01-20,0.0,1.4,0.6684764834051443
1900-01-21,0.0,0.0,0.0
1900-01-22,0.0,0.0,0.0
1900-01-23,0.0,0.0,0.0
1900-01-24,0.0,0.3,0.05660273848258935
1900-01-25,0.0,4.0,0.5036671349907879
1900-01-26,0.0,0.0,0.0
1900-01-27,0.0,11.2,3.103202534429425
1900-01-28,0.9,24.0,6.533532080279997
1900-01-29,6.6,31.5,13.077145995541603
1900-01-30,0.0,15.3,7.9742208664985395
1900-01-31,24.0,51.0,31.669711311973675
1900-02-01,0.3,43.6,17.66049694693883
1900-02-02,0.4,25.2,10.333813546729889
1900-02-03,1.3,24.0,12.911841598049
1900-02-04,0.9,50.2,12.412160949751103
1900-02-05,0.0,31.7,9.439160026159252
1900-02-06,0.0,46.2,14.700458303589635
1900-02-07,0.0,24.0,11.121969871804318
1900-02-08,2.0,19.5,8.486968955335136
1900-02-09,-0.3,23.6,5.8167473982049955
1900-02-10,0.0,48.3,15.647354496244521
1900-02-11,0.0,17.9,7.704125351487464
1900-02-12,7.8,23.6,15.766726842275617
1900-02-13,0.5,22.5,14.887658791398843
1900-02-14,0.0,6.1,1.5606766353119004
1900-02-15,0.0,18.5,3.072202777837874
1900-02-16,4.0,15.0,7.7919013398044195
1900-02-17,1.3,10.1,5.3284418056960465
1900-02-18,0.0,23.8,2.85313615600346
1900-02-19,1.8,17.2,9.688719013007217
1900-02-20,0.5,42.5,15.820905504028978
1900-02-21,5.0,56.5,20.27758999665202
1900-02-22,0.8,4.4,2.5759051095727457
1900-02-23,0.0,18.9,6.590373629053485
1900-02-24,0.0,14.7,4.7183564775025575
1900-02-25,0.0,31.6,6.195236506320761
1900-02-26,0.4,21.7,6.572505150983723
1900-02-27,0.0,12.5,3.9307125718613323
1900-02-28,0.0,12.6,4.052398246410569
1900-03-01,0.0,1.5,0.7344540922881644
1900-03-02,-0.3,0.0,-0.04102979658830914
1900-03-03,0.0,1.7,0.27646805707064437
1900-03-04,-0.3,1.6,0.5472643414004478
1900-03-05,-0.3,24.3,3.8462822313978147
1900-03-06,0.0,0.0,0.0
1900-03-07,0.0,0.6,0.15030399107040526
1900-03-08,0.0,0.8,0.12346890432796999
1900-03-09,0.0,0.2,0.07222196115692875
1900-03-10,0.0,1.0,0.7535736055083043
1900-03-11,0.0,4.5,0.6029174769887626
1900-03-12,0.0,4.5,0.7706952335272648
1900-03-13,0.0,0.0,0.0
1900-03-14,0.0,6.0,0.922353378850222
1900-03-15,0.0,0.2,0.038206381385017245
1900-03-16,-0.3,10.4,3.253527261439509
1900-03-17,2.3,8.7,5.891848680055721
1900-03-18,0.0,4.9,1.9473098990334057
1900-03-19,0.2,34.0,17.71021604526181
1900-03-20,3.1,29.0,17.99839639195269
1900-03-21,4.5,21.0,10.277328604243033
1900-03-22,3.0,33.8,14.565285735510834
1900-03-23,0.0,13.0,7.258449184514398
1900-03-24,0.0,14.5,6.320763112583678
1900-03-25,0.6,25.8,7.301300565314727
1900-03-26,-0.3,31.2,6.781433905744383
1900-03-27,0.0,17.3,10.11392021368532
1900-03-28,0.0,6.4,3.568094485499443
1900-03-29,-0.3,5.5,2.4044419159401484
1900-03-30,0.0,3.5,1.0864173147985032
1900-03-31,0.0,2.6,0.5139925293703447
1900-04-01,0.0,8.4,1.9661855551222889
1900-04-02,0.0,7.2,1.5893025364800177
1900-04-03,-0.3,8.4,2.761389661883181
1900-04-04,2.1,18.9,5.2594793748794055
1900-04-05,0.0,11.2,2.9534340727532387
1900-04-06,0.0,5.4,1.7628930730346275
1900-04-07,0.0,21.2,7.380545783230466
1900-04-08,4.4,28.7,16.319157697539172
1900-04-09,0.0,8.2,3.9204077798086723
1900-04-10,-0.3,28.7,5.6455953718642995
1900-04-11,0.0,1.9,0.282134123724579
1900-04-12,0.0,4.0,0.9612858346692162
1900-04-13,-0.3,0.0,-0.0768550542520886
1900-04-14,-0.3,0.0,-0.0338662601395146
1900-04-15,0.0,0.0,0.0
1900-04-16,0.0,4.5,0.6597496298012601
1900-04-17,0.0,2.5,0.21409266610982186
1900-04-18,0.0,0.8,0.2615315681603998
1900-04-19,0.0,0.8,0.16823603969921802
1900-04-20,0.0,0.0,0.0
1900-04-21,0.0,0.0,0.0
1900-04-22,-0.3,0.1,-0.019492583648851432
1900-04-23,0.0,0.5,0.09343360089500324
1900-04-24,0.0,5.1,1.1316278111510836
1900-04-25,0.0,8.0,3.5895446002683555
1900-04-26,0.0,5.0,0.6363835562395534
1900-04-27,0.0,21.7,5.947775960962224
1900-04-28,-0.3,7.3,1.2125862840865793
1900-04-29,0.0,16.1,4.580458911727557
1900-04-30,0.0,10.5,1.8464670309910882
1900-05-01,0.0,11.5,1.7222862192307922
1900-05-02,0.0,0.0,0.0
1900-05-03,0.0,40.0,27.602108500341206
1900-05-04,0.0,0.0,0.0
1900-05-05,0.0,3.0,1.4632386891800064
1900-05-06,-0.3,10.7,3.1735018758920157
1900-05-07,1.5,10.7,5.311440581570813
1900-05-08,0.0,20.1,12.390668190131054
1900-05-09,1.7,23.5,8.93270354367169
1900-05-10,0.0,6.9,0.8225138158725966
1900-05-11,0.0,19.7,6.102652817707044
1900-05-12,0.0,21.5,6.070534382707315
1900-05-13,1.4,21.8,9.056464164449958
1900-05-14,0.0,42.0,12.115468077544325
1900-05-15,0.0,26.0,10.227463401391583
1900-05-16,0.0,26.0,13.828708162047183
1900-05-17,0.3,19.8,2.5619875190719568
1900-05-18,0.0,6.0,3.3248243984589787
1900-05-19,0.0,3.8,0.9571259663339703
1900-05-20,0.0,2.0,0.5271676489088741
1900-05-21,0.0,2.0,0.5653518712933701
1900-05-22,0.0,10.6,5.354271127858161
1900-05-23,0.0,31.8,6.269210953044312
1900-05-24,0.0,4.0,0.8684857917915233
1900-05-25,0.0,6.7,1.0731762148969424
1900-05-26,0.0,0.0,0.0
1900-05-27,0.0,1.5,0.4097664197225797
1900-05-28,0.0,1.3,0.24747821006393173
1900-05-29,0.0,1.3,0.45898687851243647
1900-05-30,0.0,91.4,34.55160164942372
1900-05-31,0.0,16.0,2.4817063426939563
1900-06-01,0.0,51.2,13.347296552189976
1900-06-02,-0.3,32.6,5.770055338460984
1900-06-03,0.0,26.3,3.1657344806260976
1900-06-04,0.0,6.5,2.0557365632702496
1900-06-05,0.0,0.0,0.0
1900-06-06,0.0,1.3,0.2630257437883884
1900-06-07,0.0,34.2,6.734297087988936
1900-06-08,0.0,0.0,0.0
1900-06-09,0.0,0.0,0.0
1900-06-10,0.0,24.4,5.628359407035067
1900-06-11,0.0,24.4,6.812284030193351
1900-06-12,0.0,9.6,0.9759631177944039
1900-06-13,0.0,0.0,0.0
1900-06-14,0.0,0.0,0.0
1900-06-15,0.0,0.3,0.05330040838411764
1900-06-16,0.0,0.1,0.01708728973381759
1900-06-17,-0.3,0.0,-0.08046650245408889
1900-06-18,0.0,0.0,0.0
1900-06-19,0.0,0.0,0.0
1900-06-20,0.0,0.0,0.0
1900-06-21,0.0,0.0,0.0
1900-06-22,0.0,0.2,0.02166697576570172
1900-06-23,0.0,0.0,0.0
1900-06-24,0.0,10.6,1.2545982122636776
1900-06-25,0.0,0.0,0.0
1900-06-26,0.0,1.5,0.28375031725255173
1900-06-27,0.0,0.0,0.0
1900-06-28,0.0,2.8,0.5184024428884955
1900-06-29,0.0,0.0,0.0
1900-06-30,0.0,0.0,0.0
1900-07-01,0.0,0.0,0.0
1900-07-02,-0.3,0.1,-0.036220495621706324
1900-07-03,-0.3,7.4,2.2389788442365415
1900-07-04,0.0,0.0,0.0
1900-07-05,0.0,0.4,0.06516030170021116
1900-07-06,0.0,0.4,0.03958745417676997
1900-07-07,0.0,5.4,1.0093799241217263
1900-07-08,0.0,1.3,0.5825174640670988
1900-07-09,0.0,0.0,0.0
1900-07-10,0.3,7.8,4.065503286285615
